rank,code,name,sector,followupScore,action,timingLabel,price,buyLine,targetPrice,sellGuidePrice,upside,pbr,per,netCashRatio,backtestTrades,backtestWinRate,backtestAverageReturn,backtestMaxDrawdown,buyTiming,sellTiming,checkItems
1,6276,"SiriusVision CO.,LTD.",Electric Appliances,100,財務確認を進める,待つ,311,284.9472,2677.92,373.2,761.0675241157556,0.69851537407632,2.787237856246639,0.6553493984652536,1,100,12.7,0,買いライン到達 (285円以下),第一利確目安 (373円付近),直近決算の現預金・有価証券・有利子負債を確認 / 自己株式と発行株数を確認 / ネットキャッシュの持続性を確認 / 低PBRの理由が一時的か確認 / 今期利益が維持できるか確認 / 買いラインまで距離があるので追いかけない
2,3892,岡山製紙,紙・パルプ,100,財務確認を進める,待つ,1669,1507,4861.5444,2002.8,191.28486518873578,0.5252590102848799,11.074983410749835,0.6568486979947241,1,100,1.9,-1.1,"買いライン+10%以内で反転確認 (1,658円以下)","第一利確目安 (2,003円付近)",直近決算の現預金・有価証券・有利子負債を確認 / 自己株式と発行株数を確認 / ネットキャッシュの持続性を確認 / 低PBRの理由が一時的か確認 / 今期利益が維持できるか確認 / 買いラインまで距離があるので追いかけない
3,7435,"NADEX CO.,LTD.",Wholesale Trade,79,買いラインまで待つ,待つ,1264,811.2,3880.3554,1516.8,206.9901424050633,0.4983873384381235,15.581854043392504,0.4599774413222059,0,0,0,0,買いライン到達 (811円以下),"第一利確目安 (1,517円付近)",直近決算の現預金・有価証券・有利子負債を確認 / 自己株式と発行株数を確認 / ネットキャッシュの持続性を確認 / 低PBRの理由が一時的か確認 / 今期利益が維持できるか確認 / 買いラインまで距離があるので追いかけない / 買いライン未到達のため検証売買は0回
4,7901,MATSUMOTO INC.,Other Products,77,買いラインまで待つ,待つ,780,660.1425,3286.08,936,321.2923076923077,0.886172303707154,5.696757230499562,0.26896957190512893,0,0,0,0,買いライン到達 (660円以下),第一利確目安 (936円付近),直近決算の現預金・有価証券・有利子負債を確認 / 自己株式と発行株数を確認 / ネットキャッシュの持続性を確認 / 低PBRの理由が一時的か確認 / 今期利益が維持できるか確認 / 買いラインまで距離があるので追いかけない / 買いライン未到達のため検証売買は0回
5,7781,平山ホールディングス,精密機器,74,買いラインまで待つ,待つ,799,546.4575,2765.2799999999997,1559.25,246.0926157697121,1.0966086109166768,6.934559972227044,0.8772127945044828,0,0,0,0,買いライン到達 (546円以下),"第一利確目安 (1,559円付近)",直近決算の現預金・有価証券・有利子負債を確認 / 自己株式と発行株数を確認 / ネットキャッシュの持続性を確認 / 今期利益が維持できるか確認 / 買いラインまで距離があるので追いかけない / 買いライン未到達のため検証売買は0回
6,7567,SAKAE ELECTRONICS CORPORATION,Wholesale Trade,71,買いラインまで待つ,待つ,533,256,1451.4651,639.6,172.31990619136957,0.5618392064680026,20.8203125,0.21825002771569213,0,0,0,0,買いライン到達 (256円以下),第一利確目安 (640円付近),直近決算の現預金・有価証券・有利子負債を確認 / 自己株式と発行株数を確認 / ネットキャッシュの持続性を確認 / 低PBRの理由が一時的か確認 / 買いラインまで距離があるので追いかけない / 買いライン未到達のため検証売買は0回
7,9402,中部日本放送,情報通信,71,買いラインまで待つ,待つ,1220,584.9,4548.766500000001,1464,272.8497131147542,0.4103530044903382,20.85826637031971,0.46837313761471255,0,0,0,0,買いライン到達 (585円以下),"第一利確目安 (1,464円付近)",直近決算の現預金・有価証券・有利子負債を確認 / 自己株式と発行株数を確認 / ネットキャッシュの持続性を確認 / 低PBRの理由が一時的か確認 / 買いラインまで距離があるので追いかけない / 買いライン未到達のため検証売買は0回
8,7885,"TAKANO Co.,Ltd.",Other Products,71,買いラインまで待つ,待つ,1138,479.6,3844.6200000000003,1365.6,237.8400702987698,0.5327964792359192,23.728106755629693,0.475917956539883,0,0,0,0,買いライン到達 (480円以下),"第一利確目安 (1,366円付近)",直近決算の現預金・有価証券・有利子負債を確認 / 自己株式と発行株数を確認 / ネットキャッシュの持続性を確認 / 低PBRの理由が一時的か確認 / 買いラインまで距離があるので追いかけない / 買いライン未到達のため検証売買は0回
9,9409,テレビ朝日HD,情報通信,70,買いラインまで待つ,待つ,3210,2486.6,7080.4881000000005,3852,120.57595327102804,0.6936386207611873,12.909193275959142,0.1363418881468739,0,0,0,0,"買いライン到達 (2,487円以下)","第一利確目安 (3,852円付近)",直近決算の現預金・有価証券・有利子負債を確認 / 自己株式と発行株数を確認 / 低PBRの理由が一時的か確認 / 今期利益が維持できるか確認 / 買いラインまで距離があるので追いかけない / 買いライン未到達のため検証売買は0回
10,4341,西菱電機,サービス業,70,買いラインまで待つ,待つ,891,620.6,2940.264,1069.2,229.99595959595962,0.5454612238900997,14.357073799548823,0.07296099571563548,0,0,0,0,買いライン到達 (621円以下),"第一利確目安 (1,069円付近)",直近決算の現預金・有価証券・有利子負債を確認 / 自己株式と発行株数を確認 / 低PBRの理由が一時的か確認 / 今期利益が維持できるか確認 / 買いラインまで距離があるので追いかけない / 買いライン未到達のため検証売買は0回
