rank,confirmationScore,source,code,name,sector,price,status,action,buyGuard,blockers,nextStep,checklist,note
1,346.5,昇格候補,4378,CINC Corp.,Information & Communication,551,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
2,268.2,昇格候補,5989,"H-ONE CO.,LTD.",Metal Products,1469,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
3,261.2,昇格候補,4410,"HARIMA CHEMICALS GROUP,INC.",Chemicals,1072,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
4,247.5,昇格候補,9941,"TAIYO BUSSAN KAISHA,LTD.",Wholesale Trade,1195,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
5,246.1,昇格候補,7069,"CyberBuzz,Inc.",Services,1254,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
6,241,昇格候補,6522,Asterisk Inc.,Electric Appliances,1076,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
7,240.3,昇格候補,7477,MURAKI CORPORATION,Wholesale Trade,1950,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
8,208.1,昇格候補,6058,VECTOR INC.,Services,1565,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
9,205.9,昇格候補,4392,"Future Innovation Group,Inc.",Information & Communication,1125,確認してから判断,通常候補へ入れる前に注意点を確認,確認完了まで買わない,急騰後,材料、過熱感、下落理由を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
10,199.4,昇格候補,7256,"KASAI KOGYO CO.,LTD.",Transportation Equipment,467,確認してから判断,通常候補へ入れる前に注意点を確認,確認完了まで買わない,急騰後,材料、過熱感、下落理由を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
11,197.7,昇格候補,7878,"Kohsai Co.,Ltd.",Other Products,1238,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
12,197.6,昇格候補,6696,TRaaS On Product Inc.,Electric Appliances,246,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
13,195.6,昇格候補,7694,itsumo.inc.,Retail Trade,420,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
14,192.1,昇格候補,194A,"WOLVES HAND Co.,Ltd.",Services,1227,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
15,190.7,昇格候補,5010,"NIPPON SEIRO CO.,LTD.",Oil and Coal Products,231,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
16,187,昇格候補,3664,WIZE INC.,Information & Communication,22,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
17,184.5,昇格候補,9888,"UEX,LTD.",Wholesale Trade,986,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
18,179,昇格候補,5232,"Sumitomo Osaka Cement Co.,Ltd.",Glass and Ceramics Products,5995,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
19,173.8,昇格候補,2195,"AMITA HOLDINGS CO.,LTD.",Services,330,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
20,173.6,昇格候補,5587,Inbound Platform Corp.,Information & Communication,732,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
21,172.8,昇格候補,9322,"KAWANISHI WAREHOUSE CO.,LTD.",Warehousing and Harbor Transportation Service,2258,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,安値圏から反転し始めた候補です。赤字・下方修正・信用需給が重くないか確認します
22,172,昇格候補,3934,"BENEFIT JAPAN Co.,LTD.",Information & Communication,2269,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
23,171.7,昇格候補,2332,"Quest Co.,Ltd.",Information & Communication,1719,最優先で財務確認,通常候補へ入れる前の財務確認,確認完了まで買わない,なし,BPS、EPS、現金、負債、発行株数を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
24,169.5,昇格候補,5016,JX Advanced Metals Corporation,Nonferrous Metals,4733,確認してから判断,通常候補へ入れる前に注意点を確認,確認完了まで買わない,急騰後,材料、過熱感、下落理由を確認,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
