priorityRank,code,name,sector,source,status,price,checkedShares,checkedTreasuryShares,checkedCash,checkedSecurities,checkedInvestmentSecurities,checkedInterestDebt,checkedNetAssets,checkedRentalBook,checkedRentalMarket,checkedBps,checkedEps,checkedPbrLow,checkedPbrAvg,checkedPbrHigh,checkedPerLow,checkedPerAvg,checkedPerHigh,confirmed,qualitativeDone,risk,catalyst,history,sourceUrl,memo,draftShares,draftCash,draftInterestDebt,draftNetAssets,draftBps,draftEps
1,4378,ＣＩＮＣ,情報・通信業,昇格候補,自動入力・要確認,538,2829367,0,847.79,0,0,16.68,1055.75,0,0,373.14,1.35,0.64,1.09,1.53,10,16,24,false,false,,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,636|641|564|570|551|550|568|538,https://irbank.net/4378/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/04。確認後にconfirmedとqualitativeDoneをtrue,10000000,1583,633,6330,633,33.6
2,4410,ハリマ化成グループ,化学,昇格候補,自動入力・要確認,1047,24731420,0,6177,0,0,37774,41506,0,0,1678.27,109.01,0.64,1.09,1.53,10,16,24,false,false,,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,1110|1098|1101|1085|1072|1047|1077|1047,https://irbank.net/4410/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,3080,1232,12320,1232,65.4
3,3934,ベネフィットジャパン,情報・通信業,昇格候補,自動入力・要確認,2195,5918698,0,3492.16,0,0,2035,8739.49,0,0,1476.59,193.38,0.64,1.09,1.53,10,16,24,false,false,,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,2211|2200|2232|2252|2269|2222|2208|2195,https://irbank.net/3934/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,6455,2582,25820,2582,137.2
4,9941,太洋物産,卸売業,昇格候補,自動入力・要確認,1270,1777165,0,265.96,0,0,5907.83,993.08,0,0,558.8,94.14,0.64,1.09,1.53,10,16,24,false,false,,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,1224|1340|1487|1262|1195|1190|1246|1270,https://irbank.net/9941/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,3735,1494,14940,1494,79.4
5,6522,アスタリスク,電気機器,昇格候補,自動入力・要確認,1020,7886259,0,932.25,0,0,721.67,1729.22,0,0,219.27,8.34,0.64,1.09,1.53,10,16,24,false,false,,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,731|881|1009|1161|1076|1136|1017|1020,https://irbank.net/6522/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/02。確認後にconfirmedとqualitativeDoneをtrue,10000000,3000,1200,12000,1200,63.8
6,4392,ＦＩＧ,情報・通信業,昇格候補,自動入力・要確認,1115,30752949,0,1889,0,0,3302,8863,0,0,288.2,22.39,0.64,1.09,1.53,10,16,24,false,false,,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,1270|1280|1143|1197|1125|1203|1160|1115,https://irbank.net/4392/results,材料、過熱感、下落理由を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,3280,1312,13120,1312,69.7
7,7256,河西工業,輸送用機器,昇格候補,自動入力・要確認,407,61989265,0,23559,0,0,70910,26793,0,0,432.22,103.38,0.64,1.09,1.53,10,16,24,false,false,,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,445|477|487|490|467|453|427|407,https://irbank.net/7256/results,材料、過熱感、下落理由を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,1198,479,4790,479,25.4
8,7878,光・彩,その他製品,昇格候補,自動入力・要確認,1459,1317625,0,506.8,0,0,1140,1547.05,0,0,1174.12,173.75,0.75,1.27,1.8,10,16,24,false,false,,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,1460|1342|1259|1253|1238|1407|1450|1459,https://irbank.net/7878/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/04。確認後にconfirmedとqualitativeDoneをtrue,10000000,3648,1459,14590,1459,81.1
9,6696,トラース・オン・プロダクト,電気機器,昇格候補,自動入力・要確認,242,5502744,0,279.25,0,0,151.67,350.91,0,0,63.77,-1.24,0.75,1.27,1.8,10,16,24,false,false,,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,258|256|247|242|246|244|246|242,https://irbank.net/6696/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/04。確認後にconfirmedとqualitativeDoneをtrue,10000000,605,242,2420,242,13.4
10,7694,いつも,小売業,昇格候補,自動入力・要確認,413,5972548,0,928.54,0,0,3807.43,2538.93,0,0,425.1,31.62,0.75,1.27,1.8,10,16,24,false,false,,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,466|462|455|437|420|413|411|413,https://irbank.net/7694/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,1033,413,4130,413,22.9
11,5010,日本精蝋,石油・石炭製品,昇格候補,自動入力・要確認,228,18819711,0,2728,0,0,15601,6378,0,0,338.9,40.51,0.75,1.27,1.8,10,16,24,false,false,,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,225|222|226|238|231|236|233|228,https://irbank.net/5010/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,570,228,2280,228,12.7
12,5989,エイチワン,金属製品,昇格候補,入力待ち,1464,,,,,,,,,,,,0.75,1.27,1.8,10,16,24,false,false,,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,1533|1500|1509|1502|1469|1448|1467|1464,,BPS、EPS、現金、負債、発行株数を確認,10000000,3660,1464,14640,1464,81.3
13,3664,ＷＩＺＥ,情報・通信業,昇格候補,自動入力・要確認,21,106357681,0,1064.56,0,0,1214.26,1412.43,0,0,13.28,-8.21,0.75,1.27,1.8,10,16,24,false,false,,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,24|22|22|22|22|23|22|21,https://irbank.net/3664/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,53,21,210,21,1.2
14,9888,ＵＥＸ,卸売業,昇格候補,自動入力・要確認,970,11039020,0,7056.09,0,0,13837.17,19000.14,0,0,1721.18,60.49,0.75,1.27,1.8,10,16,24,false,false,,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,961|1008|995|999|986|999|988|970,https://irbank.net/9888/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,2425,970,9700,970,53.9
15,5232,住友大阪セメント,ガラス・土石製品,昇格候補,自動入力・要確認,6212,32120128,0,16588,0,0,86421,197948,0,0,6162.74,315.54,0.75,1.27,1.8,10,16,24,false,false,,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,6144|6050|6044|6050|5995|5977|6372|6212,https://irbank.net/5232/results,BPS、EPS、現金、負債、発行株数を確認 / IRBANK自動入力: 2026/03。確認後にconfirmedとqualitativeDoneをtrue,10000000,15530,6212,62120,6212,345.1
