rank,code,name,sector,status,screenScore,price,marketCap,pbr,per,netCash,netCashRatio,debtAssetRatio,sourceUrl,action,reasons,cautions
3,4410,"HARIMA CHEMICALS GROUP,INC.",Chemicals,慎重確認,58,1072,26512.08,0.64,9.83,-31597,-119.18,91.01,https://irbank.net/4410/results,負債、利益の継続性、材料の一過性を確認,PBR 0.64倍で割安寄り / PER 9.83倍で利益面は軽い,ネット有利子負債が重い -119.18% / 有利子負債がやや重い
7,7477,MURAKI CORPORATION,Wholesale Trade,見送り寄り,56,1950,2768.25,1,42.01,1517.18,54.81,0,https://irbank.net/7477/results,通常候補へ入れない方向で確認,ネットキャッシュが時価総額の54.81%相当 / 有利子負債は軽め,PER 42.01倍で高い
11,7878,"Kohsai Co.,Ltd.",Other Products,見送り寄り,56,1238,1631.22,1.05,7.13,-633.2,-38.82,73.69,https://irbank.net/7878/results,通常候補へ入れない方向で確認,PER 7.13倍で利益面は軽い,有利子負債がやや重い
8,6058,VECTOR INC.,Services,見送り寄り,46,1565,94256.31,3.47,13.35,14680,15.57,27.98,https://irbank.net/6058/results,通常候補へ入れない方向で確認,PER 13.35倍 / ネットキャッシュあり 15.57%,PBR 3.47倍で割安感が薄い
1,4378,CINC Corp.,Information & Communication,見送り寄り,32,551,1558.98,1.48,408.15,831.11,53.31,1.58,https://irbank.net/4378/results,通常候補へ入れない方向で確認,ネットキャッシュが時価総額の53.31%相当 / 有利子負債は軽め,PBR 1.48倍で割安感が薄い / PER 408.15倍で高い
10,7256,"KASAI KOGYO CO.,LTD.",Transportation Equipment,見送り寄り,20,467,28948.99,1.08,4.52,-47351,-163.57,264.66,https://irbank.net/7256/results,通常候補へ入れない方向で確認,PER 4.52倍で利益面は軽い,ネット有利子負債が重い -163.57% / 有利子負債が純資産を上回る
5,7069,"CyberBuzz,Inc.",Services,見送り寄り,8,1254,4320.56,5.74,13.88,60.95,1.41,161.6,https://irbank.net/7069/results,通常候補へ入れない方向で確認,PER 13.88倍,PBR 5.74倍で割安感が薄い / 有利子負債が純資産を上回る
6,6522,Asterisk Inc.,Electric Appliances,見送り寄り,2,1076,8485.61,4.91,129.02,210.58,2.48,41.73,https://irbank.net/6522/results,通常候補へ入れない方向で確認,確認材料が不足,PBR 4.91倍で割安感が薄い / PER 129.02倍で高い
9,4392,"Future Innovation Group,Inc.",Information & Communication,見送り寄り,2,1125,34597.07,3.9,50.25,-1413,-4.08,37.26,https://irbank.net/4392/results,通常候補へ入れない方向で確認,確認材料が不足,PBR 3.9倍で割安感が薄い / PER 50.25倍で高い
2,5989,"H-ONE CO.,LTD.",Metal Products,入力待ち,0,1469,0,0,0,0,0,0,,不足項目を埋める,確認材料が不足,未入力: 発行株数 / 現金等 / 有利子負債 / 純資産 / BPS / EPS / EPSが赤字または未確認
4,9941,"TAIYO BUSSAN KAISHA,LTD.",Wholesale Trade,見送り寄り,0,1195,2123.71,2.14,12.69,-5641.87,-265.66,594.9,https://irbank.net/9941/results,通常候補へ入れない方向で確認,PER 12.69倍,PBR 2.14倍で割安感が薄い / ネット有利子負債が重い -265.66% / 有利子負債が純資産を上回る
12,6696,TRaaS On Product Inc.,Electric Appliances,見送り寄り,0,246,1353.68,3.86,0,127.58,9.42,43.22,https://irbank.net/6696/results,通常候補へ入れない方向で確認,確認材料が不足,PBR 3.86倍で割安感が薄い / EPSが赤字または未確認
13,7901,MATSUMOTO INC.,Other Products,入力待ち,0,770,0,0,0,0,0,0,,不足項目を埋める,確認材料が不足,未入力: 発行株数 / 現金等 / 有利子負債 / 純資産 / BPS / EPS / EPSが赤字または未確認
