hiddenScore,score,qualityRank,code,name,market,sector,status,judgement,signal,strategy,priceScore,winRate,averageReturn,maxDrawdown,periodReturn,trades,timingAction,assistAction,qualityNote,comment,nextCheck,caution,reason
205.5,205.5,205.5,3936,"Globalway,Inc.",Growth Market(Domestic),Information & Communication,未発掘の財務確認候補,中立,上昇中押し目,安値反転,128.6,100,53.1,-4.6,-11.1,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
164.9,164.9,164.9,4596,"Kubota Pharmaceutical Holdings Co.,Ltd.",Growth Market(Domestic),Pharmaceutical,様子見候補,中立,待ち,安値反転,106.1,100,45.7,-4.3,32.6,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
164,164,164,3358,"Trailhead Global Holdings,Inc.",Standard Market(Domestic),Retail Trade,様子見候補,中立,待ち,高値更新,106.2,100,46.6,-5.8,-11.8,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,高値更新型で勢いがある
157.1,157.1,157.1,1945,TOKYO ENERGY & SYSTEMS INC.,Prime Market (Domestic),Construction,未発掘の財務確認候補,中立,上昇中押し目,安値反転,97.8,100,37.6,-4.4,99.7,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
156.5,156.5,156.5,4395,Accrete Inc.,Growth Market(Domestic),Information & Communication,様子見候補,中立,待ち,安値反転,101,100,43.3,-4.7,-17.6,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
155.8,155.8,155.8,2385,Soiken Holdings Inc.,Growth Market(Domestic),Services,様子見候補,中立,待ち,高値更新,98.6,100,39.3,0,50.6,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,高値更新型で勢いがある
150.6,150.6,150.6,3823,"THE WHY HOW DO COMPANY,Inc.",Standard Market(Domestic),Information & Communication,様子見候補,中立,待ち,安値反転,108,100,44,0,-75.2,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
146.9,146.9,146.9,7810,"Crossfor Co.,Ltd.",Standard Market(Domestic),Other Products,様子見候補,中立,待ち,安値反転,95.5,100,41.3,-6,-13.8,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
146.3,146.3,146.3,9818,"DAIMARU ENAWIN Co.,Ltd.",Standard Market(Domestic),Wholesale Trade,様子見候補,中立,待ち,安値反転,92.6,100,36.3,0,-3.9,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
144,144,144,2693,YKT CORPORATION,Standard Market(Domestic),Wholesale Trade,未発掘の財務確認候補,中立,上昇中押し目,上昇中押し目,89.3,100,33.1,-4,47.7,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
142.6,142.6,142.6,9075,"FUKUYAMA TRANSPORTING CO.,LTD.",Prime Market (Domestic),Land Transportation,未発掘の財務確認候補,良さそう,上昇中押し目,高値更新,60.2,75,9.4,-4,75.3,4,今すぐ財務確認,今すぐ財務確認,財務確認前,価格上は上昇中の押し目に近いです。買う前に財務と材料をすぐ確認します,BPS、EPS、現金、有利子負債、直近決算,なし,既存候補外で上昇中の押し目に見える
141.6,141.6,141.6,6969,"MATSUO ELECTRIC CO.,LTD.",Standard Market(Domestic),Electric Appliances,未発掘の財務確認候補,良さそう,上昇中押し目,高値更新,62,80,11.7,-10.3,151,5,今すぐ財務確認,今すぐ財務確認,財務確認前,価格上は上昇中の押し目に近いです。買う前に財務と材料をすぐ確認します,BPS、EPS、現金、有利子負債、直近決算,なし,既存候補外で上昇中の押し目に見える
140.7,140.7,140.7,6516,"SANYO DENKI CO.,LTD.",Prime Market (Domestic),Electric Appliances,未発掘の財務確認候補,良さそう,上昇中押し目,高値更新,60.4,80,9.3,-7.7,102,5,今すぐ財務確認,今すぐ財務確認,負けにくさ良好,価格上は上昇中の押し目に近いです。買う前に財務と材料をすぐ確認します,BPS、EPS、現金、有利子負債、直近決算,なし,既存候補外で上昇中の押し目に見える
138.2,138.2,138.2,7800,"Amifa Co.,Ltd.",Standard Market(Domestic),Other Products,様子見候補,中立,待ち,安値反転,87.5,100,34,-0.3,40,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
137.2,137.2,137.2,7537,MARUBUN CORPORATION,Prime Market (Domestic),Wholesale Trade,様子見候補,中立,待ち,安値反転,87.2,100,34.2,-1,71.5,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
133.1,133.1,133.1,9913,NIPPO LTD.,Standard Market(Domestic),Wholesale Trade,未発掘の財務確認候補,中立,上昇中押し目,安値反転,80.7,100,26.4,0,61.5,1,財務確認して監視,財務確認して監視,検証回数少なめ,押し目候補ですが、通常候補へ入れる前に財務確認が必要です,BPS、EPS、現金、有利子負債、直近決算,検証回数少なめ,既存候補外で上昇中の押し目に見える
132.9,132.9,132.9,1711,"SDS HOLDINGS Co.,Ltd.",Standard Market(Domestic),Construction,様子見候補,中立,待ち,安値反転,84.4,100,32.7,-0.8,-12.3,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
