code,name,market,sector
1301,極洋,プライム（内国株式）,水産・農林業
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,医薬品
1332,ニッスイ,プライム（内国株式）,水産・農林業
1333,Ｕｍｉｏｓ,プライム（内国株式）,水産・農林業
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,情報・通信業
1375,ユキグニファクトリー,プライム（内国株式）,水産・農林業
1376,カネコ種苗,スタンダード（内国株式）,水産・農林業
1377,サカタのタネ,プライム（内国株式）,水産・農林業
1379,ホクト,プライム（内国株式）,水産・農林業
137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,情報・通信業
1380,秋川牧園,スタンダード（内国株式）,水産・農林業
1381,アクシーズ,スタンダード（内国株式）,水産・農林業
1382,ホーブ,スタンダード（内国株式）,水産・農林業
1383,ベルグアース,スタンダード（内国株式）,水産・農林業
1384,ホクリヨウ,スタンダード（内国株式）,水産・農林業
138A,光フードサービス,グロース（内国株式）,小売業
1401,エムビーエス,グロース（内国株式）,建設業
1407,ウエストホールディングス,スタンダード（内国株式）,建設業
1414,ショーボンドホールディングス,プライム（内国株式）,建設業
1417,ミライト・ワン,プライム（内国株式）,建設業
1418,インターライフホールディングス,スタンダード（内国株式）,建設業
1419,タマホーム,プライム（内国株式）,建設業
141A,トライアルホールディングス,グロース（内国株式）,小売業
1420,サンヨーホームズ,スタンダード（内国株式）,建設業
1429,日本アクア,プライム（内国株式）,建設業
142A,ジンジブ,グロース（内国株式）,サービス業
1430,ファーストコーポレーション,スタンダード（内国株式）,建設業
1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,建設業
1433,ベステラ,プライム（内国株式）,建設業
1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,建設業
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,不動産業
1436,グリーンエナジー＆カンパニー,グロース（内国株式）,建設業
1438,岐阜造園,スタンダード（内国株式）,建設業
143A,イシン,グロース（内国株式）,サービス業
1443,技研ホールディングス,スタンダード（内国株式）,建設業
1444,ニッソウ,グロース（内国株式）,建設業
1446,キャンディル,スタンダード（内国株式）,建設業
1447,ＳＡＡＦホールディングス,グロース（内国株式）,建設業
1450,ＴＡＮＡＫＥＮ,スタンダード（内国株式）,建設業
145A,Ｌ　ｉｓ　Ｂ,グロース（内国株式）,情報・通信業
146A,コロンビア・ワークス,スタンダード（内国株式）,不動産業
147A,ソラコム,グロース（内国株式）,情報・通信業
148A,ハッチ・ワーク,グロース（内国株式）,情報・通信業
1491,中外鉱業,スタンダード（内国株式）,非鉄金属
149A,シンカ,グロース（内国株式）,情報・通信業
150A,ＪＳＨ,グロース（内国株式）,サービス業
1514,住石ホールディングス,スタンダード（内国株式）,鉱業
1515,日鉄鉱業,プライム（内国株式）,鉱業
1518,三井松島ホールディングス,プライム（内国株式）,その他製品
151A,ダイブ,グロース（内国株式）,サービス業
153A,カウリス,グロース（内国株式）,情報・通信業
155A,情報戦略テクノロジー,グロース（内国株式）,情報・通信業
156A,マテリアルグループ,グロース（内国株式）,サービス業
157A,グリーンモンスター,グロース（内国株式）,サービス業
1605,ＩＮＰＥＸ,プライム（内国株式）,鉱業
160A,アズパートナーズ,スタンダード（内国株式）,サービス業
1662,石油資源開発,プライム（内国株式）,鉱業
1663,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,鉱業
166A,タスキホールディングス,グロース（内国株式）,不動産業
167A,リョーサン菱洋ホールディングス,プライム（内国株式）,卸売業
168A,イタミアート,グロース（内国株式）,その他製品
1711,ＳＤＳホールディングス,スタンダード（内国株式）,建設業
1716,第一カッター興業,スタンダード（内国株式）,建設業
1717,明豊ファシリティワークス,スタンダード（内国株式）,サービス業
1718,美樹工業,スタンダード（内国株式）,建設業
1719,安藤・間,プライム（内国株式）,建設業
1720,東急建設,プライム（内国株式）,建設業
1721,コムシスホールディングス,プライム（内国株式）,建設業
1723,日本電技,スタンダード（内国株式）,建設業
1724,シンクレイヤ,スタンダード（内国株式）,建設業
1726,ビーアールホールディングス,プライム（内国株式）,建設業
1736,オーテック,スタンダード（内国株式）,建設業
173A,ハンモック,グロース（内国株式）,情報・通信業
1758,太洋基礎工業,スタンダード（内国株式）,建設業
175A,Ｗｉｌｌ　Ｓｍａｒｔ,グロース（内国株式）,情報・通信業
1762,高松コンストラクショングループ,プライム（内国株式）,建設業
1764,工藤建設,スタンダード（内国株式）,建設業
1766,東建コーポレーション,プライム（内国株式）,建設業
1768,ソネック,スタンダード（内国株式）,建設業
1770,藤田エンジニアリング,スタンダード（内国株式）,建設業
177A,コージンバイオ,グロース（内国株式）,化学
1780,ヤマウラ,プライム（内国株式）,建設業
1783,ｆａｎｔａｓｉｓｔａ,スタンダード（内国株式）,不動産業
1786,オリエンタル白石,プライム（内国株式）,建設業
1787,ナカボーテック,スタンダード（内国株式）,建設業
1788,三東工業社,スタンダード（内国株式）,建設業
1793,大本組,スタンダード（内国株式）,建設業
1795,マサル,スタンダード（内国株式）,建設業
1798,守谷商会,スタンダード（内国株式）,建設業
1799,第一建設工業,スタンダード（内国株式）,建設業
1801,大成建設,プライム（内国株式）,建設業
1802,大林組,プライム（内国株式）,建設業
1803,清水建設,プライム（内国株式）,建設業
1807,佐藤渡辺,スタンダード（内国株式）,建設業
1808,長谷工コーポレーション,プライム（内国株式）,建設業
1810,松井建設,スタンダード（内国株式）,建設業
1811,錢高組,スタンダード（内国株式）,建設業
1812,鹿島建設,プライム（内国株式）,建設業
1813,不動テトラ,プライム（内国株式）,建設業
1814,大末建設,プライム（内国株式）,建設業
1815,鉄建建設,プライム（内国株式）,建設業
1820,西松建設,プライム（内国株式）,建設業
1822,大豊建設,スタンダード（内国株式）,建設業
1826,佐田建設,スタンダード（内国株式）,建設業
1827,ナカノフドー建設,スタンダード（内国株式）,建設業
1828,田辺工業,スタンダード（内国株式）,建設業
1833,奥村組,プライム（内国株式）,建設業
1835,東鉄工業,プライム（内国株式）,建設業
1840,土屋ホールディングス,スタンダード（内国株式）,建設業
1844,大盛工業,スタンダード（内国株式）,建設業
1847,イチケン,スタンダード（内国株式）,建設業
1848,富士ピー・エス,スタンダード（内国株式）,建設業
184A,学びエイド,グロース（内国株式）,情報・通信業
1850,南海辰村建設,スタンダード（内国株式）,建設業
1852,淺沼組,プライム（内国株式）,建設業
1853,森組,スタンダード（内国株式）,建設業
1860,戸田建設,プライム（内国株式）,建設業
1861,熊谷組,プライム（内国株式）,建設業
1866,北野建設,スタンダード（内国株式）,建設業
1867,植木組,スタンダード（内国株式）,建設業
186A,アストロスケールホールディングス,グロース（内国株式）,サービス業
1870,矢作建設工業,プライム（内国株式）,建設業
1871,ピーエス・コンストラクション,プライム（内国株式）,建設業
1873,日本ハウスホールディングス,プライム（内国株式）,建設業
1878,大東建託,プライム（内国株式）,不動産業
1879,新日本建設,プライム（内国株式）,建設業
1882,東亜道路工業,プライム（内国株式）,建設業
1885,東亜建設工業,プライム（内国株式）,建設業
1887,日本国土開発,プライム（内国株式）,建設業
1888,若築建設,プライム（内国株式）,建設業
1893,五洋建設,プライム（内国株式）,建設業
1897,金下建設,スタンダード（内国株式）,建設業
1898,世紀東急工業,プライム（内国株式）,建設業
1899,福田組,プライム（内国株式）,建設業
189A,Ｄ＆Ｍカンパニー,グロース（内国株式）,サービス業
1904,大成温調,スタンダード（内国株式）,建設業
1905,テノックス,スタンダード（内国株式）,建設業
1909,日本ドライケミカル,スタンダード（内国株式）,機械
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,グロース（内国株式）,医薬品
1911,住友林業,プライム（内国株式）,建設業
1914,日本基礎技術,スタンダード（内国株式）,建設業
1921,巴コーポレーション,スタンダード（内国株式）,建設業
1925,大和ハウス工業,プライム（内国株式）,建設業
1926,ライト工業,プライム（内国株式）,建設業
1928,積水ハウス,プライム（内国株式）,建設業
1929,日特建設,プライム（内国株式）,建設業
192A,インテグループ,グロース（内国株式）,サービス業
1930,北陸電気工事,プライム（内国株式）,建設業
1934,ユアテック,プライム（内国株式）,建設業
1938,日本リーテック,プライム（内国株式）,建設業
1939,四電工,プライム（内国株式）,建設業
1941,中電工,プライム（内国株式）,建設業
1942,関電工,プライム（内国株式）,建設業
1944,きんでん,プライム（内国株式）,建設業
1945,東京エネシス,プライム（内国株式）,建設業
1946,トーエネック,プライム（内国株式）,建設業
1948,弘電社,スタンダード（内国株式）,建設業
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,グロース（内国株式）,サービス業
1950,日本電設工業,プライム（内国株式）,建設業
1951,エクシオグループ,プライム（内国株式）,建設業
1952,新日本空調,プライム（内国株式）,建設業
1959,クラフティア,プライム（内国株式）,建設業
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,グロース（内国株式）,サービス業
1960,サンテック,スタンダード（内国株式）,建設業
1961,三機工業,プライム（内国株式）,建設業
1963,日揮ホールディングス,プライム（内国株式）,建設業
1964,中外炉工業,プライム（内国株式）,建設業
1965,テクノ菱和,スタンダード（内国株式）,建設業
1966,高田工業所,スタンダード（内国株式）,建設業
1967,ヤマト,スタンダード（内国株式）,建設業
1968,太平電業,プライム（内国株式）,建設業
