month,universeCount,priceAvailableCount,analyzedCount,nowBuyCount,nearBuyCount,sellCheckCount,waitCount,avoidCount,dataGapCount,fetchErrorCount,buyForward1mAvg,buyForward3mAvg,buyForward6mAvg,buyForward3mWinRate,topBuyCodes
2023-02,3728,2,2,1,0,0,0,1,3726,12,0.26,0.45,43.17,100.0,5271
2023-03,3728,3,3,1,0,0,0,2,3725,12,2.52,6.39,16.65,100.0,5271
2023-04,3728,3,3,1,0,1,0,1,3725,12,-2.27,7.93,27.35,100.0,5271
2023-05,3728,3,3,1,0,1,0,1,3725,12,6.18,42.52,32.27,100.0,5271
2023-06,3728,9,9,1,0,2,4,2,3719,12,4.0,9.65,57.38,100.0,5271
2023-07,3728,3531,3350,1020,165,556,1105,504,378,12,2.66,5.22,17.95,66.0,7236 7173 5801 6085 6574 7460 8053 6857 5802 3110
2023-08,3728,3540,3359,987,184,531,1130,527,369,12,-1.36,3.14,19.58,55.7,7236 7173 5801 6085 6574 7460 8053 6857 5802 3110
2023-09,3728,3552,3369,1047,169,474,1152,527,359,12,4.35,12.62,21.98,85.9,7236 6085 5801 7173 6574 7460 8053 6857 5802 3110
2023-10,3728,3556,3372,985,167,512,1182,526,356,12,0.49,11.87,18.9,84.1,7236 7173 5801 6085 6574 7460 8053 6857 5802 4119
2023-11,3728,3570,3382,980,165,496,1202,539,346,12,7.38,16.28,21.05,90.0,7236 7173 5801 6085 6574 7460 8053 6857 5802 4119
2023-12,3728,3570,3382,862,178,541,1257,544,346,12,3.54,9.09,12.81,73.3,7236 7173 5801 6085 6574 7460 8053 5802 6857 3551
2024-01,3728,3575,3386,839,170,567,1267,543,342,12,4.49,7.01,5.38,65.9,7236 7173 6085 5801 6574 7460 8053 5802 6857 3103
2024-02,3728,3589,3399,765,171,566,1322,575,329,12,0.72,4.51,-1.68,61.6,7236 7173 6085 5801 6574 7460 8053 5802 6857 3103
2024-03,3728,3595,3405,769,159,531,1357,589,323,12,1.33,3.63,-0.91,58.1,7236 7173 6085 5801 6574 7460 6857 8053 5802 3551
2024-04,3728,3596,3405,781,177,519,1343,585,323,12,2.72,-1.07,-0.62,36.1,7236 7173 6085 5801 7460 8053 6857 6574 5802 7161
2024-05,3728,3607,3413,738,184,542,1329,620,315,12,-0.24,-5.67,-0.1,24.6,7236 7173 6085 5801 7460 8053 6574 6857 5802 7161
2024-06,3728,3614,3417,741,190,547,1325,614,311,12,-3.47,-4.13,1.2,24.5,7236 7173 6085 5801 8053 6574 7460 6857 5802 7161
2024-07,3728,3615,3418,821,168,523,1303,603,310,12,-2.0,0.06,6.18,40.8,7236 7173 6085 5801 8053 7460 7161 6857 5802 6574
2024-08,3728,3621,3424,850,176,510,1283,605,304,12,1.36,5.83,9.17,67.7,7236 7173 6085 5801 8053 7460 7161 5802 6857 7322
2024-09,3728,3629,3432,815,208,505,1290,614,296,12,0.75,5.6,9.45,67.4,7236 7173 6085 5801 7460 8053 7161 5802 8338 7322
2024-10,3728,3633,3435,830,196,504,1283,622,293,12,3.49,5.94,13.14,72.6,7236 7173 6085 8053 7460 5801 7161 6981 8338 6779
2024-11,3728,3650,3451,784,185,510,1325,647,277,12,1.37,3.89,13.1,61.8,285A 7236 6085 7173 8053 5801 7460 7161 3103 6525
2024-12,3728,3650,3451,779,183,511,1323,655,277,12,1.42,3.51,18.37,59.8,285A 7236 6085 7173 8053 7460 5801 7161 3103 6981
2025-01,3728,3655,3456,773,200,495,1349,639,272,12,1.06,7.08,24.77,70.9,285A 7236 7173 6085 8053 5801 7460 7161 3103 6779
