type,label,sample,hits,hitRate,lift,avgPeriodReturn,medianPeriodReturn
単独,取引回数 >= 5,251,104,41.4,5.8,114.6,86.3
単独,最新シグナル = 上昇中押し目,222,86,38.7,5.42,137.3,69.9
単独,ネットキャッシュ比率 >= 100%,126,33,26.2,3.67,49.7,48.5
単独,最新シグナル = 高値圏,202,44,21.8,3.05,66.3,48.2
単独,判定 = 良さそう,743,149,20.1,2.81,71.1,41.3
単独,価格スコア >= 70,142,27,19,2.66,85.9,33.8
単独,ネットキャッシュ比率 >= 75%,208,35,16.8,2.36,28.5,11.6
単独,最良戦略 = 上昇中押し目,931,146,15.7,2.2,56.1,22.2
単独,PER 0超-5以下,40,6,15,2.1,32.3,17.1
単独,平均リターン >= 5%,1457,201,13.8,1.93,51,25.9
単独,取引回数 >= 3,1463,196,13.4,1.88,37.9,13.5
単独,価格スコア >= 35,1498,197,13.2,1.84,49.6,24.6
単独,価格スコア >= 50,783,98,12.5,1.75,51,23.7
単独,勝率 >= 55%,1744,210,12,1.69,46.3,22.2
単独,平均リターン >= 10%,787,94,11.9,1.67,50,24.3
単独,最良戦略 = 高値更新,860,97,11.3,1.58,41.5,25
単独,平均リターン >= 20%,141,15,10.6,1.49,36.9,20.7
単独,勝率 >= 70%,1348,137,10.2,1.42,41.2,19.5
単独,平均リターン >= 15%,439,38,8.7,1.21,32.3,20.1
単独,勝率 >= 80%,1233,104,8.4,1.18,36.5,17.3
単独,取引回数 >= 2,2840,226,8,1.11,25.1,6.9
単独,ネットキャッシュ比率 >= 50%,482,38,7.9,1.1,13.1,3.5
単独,最大下落 > -20%,3700,263,7.1,1,22.4,7.2
単独,勝率 >= 90%,1196,85,7.1,0.99,34.2,16.2
単独,最大下落 > -15%,3668,257,7,0.98,22,7.2
単独,ネットキャッシュ比率 >= 0%,2437,169,6.9,0.97,20.5,5.5
単独,最大下落 > -10%,3363,228,6.8,0.95,22.4,7.9
単独,PER 0超-30以下,3052,191,6.3,0.88,21.9,9.6
単独,判定 = 中立,1565,89,5.7,0.8,25,12.7
単独,最大下落 > -5%,1661,94,5.7,0.79,24.2,11.1
単独,最新シグナル = 待ち,2482,135,5.4,0.76,14.8,5.3
単独,PER 0超-20以下,2606,132,5.1,0.71,20,9.6
単独,ネットキャッシュ比率 >= 25%,1110,54,4.9,0.68,9.4,3.6
単独,PBR <= 1.5,2332,102,4.4,0.61,19.4,9.6
単独,PER 0超-15以下,1999,84,4.2,0.59,17.2,9.9
単独,PBR <= 1,1585,62,3.9,0.55,20.8,10.2
単独,時価総額 <= 500億円,2514,80,3.2,0.45,8,2.2
単独,PER 0超-10以下,792,19,2.4,0.34,13.7,9.9
単独,時価総額 <= 200億円,1888,44,2.3,0.33,3.4,0.4
単独,判定 = 見送り寄り,1300,26,2,0.28,-3.4,-6.8
単独,PBR <= 0.7,755,13,1.7,0.24,13,8.7
単独,時価総額 <= 100億円,1333,21,1.6,0.22,-1.7,-3
単独,最良戦略 = 安値反転,1919,22,1.1,0.16,-2.3,-3.6
単独,時価総額 <= 50億円,780,7,0.9,0.13,-7.1,-6.6
単独,PBR <= 0.5,337,1,0.3,0.04,9.7,7.7
単独,時価総額 <= 30億円,405,1,0.2,0.03,-15.9,-13.7
単独,最新シグナル = 安値反転候補,804,0,0,0,3.6,2.8
単独,PBR <= 0.3,53,0,0,0,5.8,9.6
複合,良さそう+上昇中押し目+価格スコア50以上,68,33,48.5,6.79,212.3,95.3
複合,上昇中押し目+勝率70%以上+平均10%以上,91,34,37.4,5.23,161.4,68.6
複合,良さそう+取引2回以上+最大下落-15%超,743,149,20.1,2.81,71.1,41.3
複合,買いやすい2倍監視条件,67,10,14.9,2.09,50.7,19.2
複合,小型+低PER+価格スコア良好,204,6,2.9,0.41,18.7,15.2
複合,低PBR+低PER+時価総額500億以下,804,12,1.5,0.21,13.7,9.6
複合,小型+低PBR+ネットキャッシュ厚め,192,0,0,0,5.2,5.7
