window,days,code,name,points,firstDate,lastDate,periodReturn,strategy,timing,confidence,trades,winRate,averageReturn,maxDrawdown,score,judgement,error
半年,190,8841,テーオーシー,124,2025-12-15,2026-06-19,13.5,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
半年,190,6505,東洋電機製造,124,2025-12-15,2026-06-19,0.5,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
半年,190,3123,サイボー,124,2025-12-15,2026-06-19,6.3,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
半年,190,3765,ガンホー,124,2025-12-15,2026-06-19,-11.8,5%以内で早めに買い,待つ,参考,1,100,0,-0.8,42.4,中立,
半年,190,8802,三菱地所,124,2025-12-15,2026-06-19,2.7,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
半年,190,2484,出前館,124,2025-12-15,2026-06-19,-15.9,下げ止まり反転で買い,買い場待ち,低,4,0,-6.5,-10.2,-5.9,見送り寄り,
半年,190,1897,金下建設,124,2025-12-15,2026-06-19,4.3,下げ止まり反転で買い,買い候補,高め,2,100,1.9,-0.7,47.8,良さそう,
半年,190,9672,東京都競馬,124,2025-12-15,2026-06-19,-19.1,買いライン到達で買い,売り検討,参考,0,0,0,0,-100,未約定,
半年,190,8830,住友不動産,124,2025-12-15,2026-06-19,-10.2,買いライン到達で買い,待つ,参考,1,100,2.6,-2.9,43.8,良さそう,
半年,190,8801,三井不動産,124,2025-12-15,2026-06-19,-17.2,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
半年,190,9830,トラスコ中山,124,2025-12-15,2026-06-19,-6.4,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
半年,190,3471,三井不動産ロジスティクスパーク投資法人,124,2025-12-15,2026-06-19,-11.3,5%以内で早めに買い,待つ,低,2,50,-6,-12.8,8.6,見送り寄り,
半年,190,8018,三共生興,124,2025-12-15,2026-06-19,20.5,下げ止まり反転で買い,待つ,参考,1,100,23,-0.3,70.4,良さそう,
半年,190,6513,オリジン,124,2025-12-15,2026-06-19,1.5,買いライン到達で買い,買い候補,参考,1,100,2.5,-1.2,45,良さそう,
半年,190,1443,技研HD,124,2025-12-15,2026-06-19,5.1,買いライン到達で買い,買い場待ち,参考,0,0,0,0,-100,未約定,
半年,190,9409,テレビ朝日HD,124,2025-12-15,2026-06-19,-5.3,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
半年,190,9402,中部日本放送,0,,,,,,,0,,,,,取得失敗,404 Not Found
半年,190,9324,安田倉庫,124,2025-12-15,2026-06-19,3.7,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
半年,190,8818,京阪神ビルディング,124,2025-12-15,2026-06-19,12.3,買いライン到達で買い,待つ,参考,0,0,0,0,-100,未約定,
