priority,code,name,source,market,sector,action,signal,strategy,score,winRate,averageReturn,maxDrawdown,periodReturn,reason,nextCheck,caution
238.5,4378,ＣＩＮＣ,2倍監視,グロース（内国株式）,情報・通信業,優先して財務確認,上昇中押し目,高値更新,157.1,100,46,0,-17.7,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
213.2,9980,ＭＲＫホールディングス,自動買い候補予備軍,スタンダード（内国株式）,小売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,142.85,100,29.3,0,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
211.3,5697,サンユウ,自動買い候補予備軍,スタンダード（内国株式）,鉄鋼,最優先で通常候補前確認,今買い候補,財務+価格自動判定,155,100,13.8,-0.2,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
207.6,7161,じもとホールディングス,自動買い候補予備軍,スタンダード（内国株式）,銀行業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,160.34,100,7.5,-4.4,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
206.6,7261,マツダ,自動買い候補予備軍,プライム（内国株式）,輸送用機器,最優先で通常候補前確認,今買い候補,財務+価格自動判定,150.8,100,13.3,-0.2,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
205.8,4231,タイガースポリマー,自動買い候補予備軍,スタンダード（内国株式）,化学,最優先で通常候補前確認,今買い候補,財務+価格自動判定,150.01,100,13.1,0,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
205.4,4119,日本ピグメントホールディングス,自動買い候補予備軍,スタンダード（内国株式）,化学,最優先で通常候補前確認,今買い候補,財務+価格自動判定,147.81,100,15.4,-0.4,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
203.4,8338,筑波銀行,自動買い候補予備軍,プライム（内国株式）,銀行業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,149.13,100,13.6,-2.5,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
203.1,4224,ロンシール工業,自動買い候補予備軍,スタンダード（内国株式）,化学,最優先で通常候補前確認,今買い候補,財務+価格自動判定,146.79000000000002,100,14.5,-0.9,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
198.1,5391,エーアンドエーマテリアル,自動買い候補予備軍,スタンダード（内国株式）,ガラス・土石製品,最優先で通常候補前確認,今買い候補,財務+価格自動判定,133.78,100,22.6,0,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
197.8,6964,サンコー,自動買い候補予備軍,スタンダード（内国株式）,電気機器,最優先で通常候補前確認,買い場近い,財務+価格自動判定,138.16,100,17.6,-0.2,0,買い場近い。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
196.7,7266,今仙電機製作所,自動買い候補予備軍,スタンダード（内国株式）,輸送用機器,最優先で通常候補前確認,今買い候補,財務+価格自動判定,144.65,100,12.1,-3.5,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
196.4,5204,石塚硝子,自動買い候補予備軍,スタンダード（内国株式）,ガラス・土石製品,最優先で通常候補前確認,今買い候補,財務+価格自動判定,136.06,100,19,-1,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
195.7,7446,東北化学薬品,自動買い候補予備軍,スタンダード（内国株式）,卸売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,136.70999999999998,100,17.8,-1.3,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
194.8,4629,大伸化学,自動買い候補予備軍,スタンダード（内国株式）,化学,最優先で通常候補前確認,買い場近い,財務+価格自動判定,136.85,100,15.5,0,0,買い場近い。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
193.8,6343,フリージア・マクロス,自動買い候補予備軍,スタンダード（内国株式）,機械,最優先で通常候補前確認,今買い候補,財務+価格自動判定,133.78,100,18.4,-0.7,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
192.9,7490,日新商事,自動買い候補予備軍,スタンダード（内国株式）,卸売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,124.2,100,30.2,-3.1,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
192.7,1866,北野建設,自動買い候補予備軍,スタンダード（内国株式）,建設業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,136.24,100,13.8,0,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
191.5,8152,ソマール,自動買い候補予備軍,スタンダード（内国株式）,卸売業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,131.9,100,18,-0.7,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
190.5,5282,ジオスター,自動買い候補予備軍,スタンダード（内国株式）,ガラス・土石製品,最優先で通常候補前確認,今買い候補,財務+価格自動判定,139.59,100,8.8,-1.3,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
188.1,1914,日本基礎技術,自動買い候補予備軍,スタンダード（内国株式）,建設業,最優先で通常候補前確認,今買い候補,財務+価格自動判定,127.64,100,18.3,0,0,今買い候補。自動取得財務と月次シグナルで条件内です,有報、決算短信、利益継続性、負債、出来高,自動取得財務で判定。原資料チェック推奨
