readinessScore,rank,code,name,market,sector,status,action,signal,priority,winRate,averageReturn,maxDrawdown,periodReturn,price,nextCheck,blockers,checklist,note
316.5,1,4378,CINC Corp.,Growth Market(Domestic),Information & Communication,最優先で財務確認,優先して財務確認,上昇中押し目,238.5,100,46,0,-15.4,551,決算成長、出来高、直近高値,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
238.2,6,5989,"H-ONE CO.,LTD.",Prime Market (Domestic),Metal Products,最優先で財務確認,優先して財務確認,上昇中押し目,160.2,100,21.1,-3,19.5,1469,決算成長、出来高、直近高値,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
231.2,9,4410,"HARIMA CHEMICALS GROUP,INC.",Prime Market (Domestic),Chemicals,最優先で財務確認,優先して財務確認,上昇中押し目,153.2,100,20.6,-5.8,37.1,1072,決算成長、出来高、直近高値,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
219.9,2,4392,"Future Innovation Group,Inc.",Prime Market (Domestic),Information & Communication,材料と過熱感を先に確認,優先して財務確認,上昇中押し目,169.9,100,26.9,-6.6,312.1,1125,決算成長、出来高、直近高値,急騰後,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
217.5,11,9941,"TAIYO BUSSAN KAISHA,LTD.",Standard Market(Domestic),Wholesale Trade,最優先で財務確認,優先して財務確認,上昇中押し目,151.5,100,16,0,22.6,1195,決算成長、出来高、直近高値,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
216.1,12,7069,"CyberBuzz,Inc.",Growth Market(Domestic),Services,最優先で財務確認,優先して財務確認,上昇中押し目,150.1,100,19.5,-5.7,71.5,1254,決算成長、出来高、直近高値,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
213.4,5,7256,"KASAI KOGYO CO.,LTD.",Standard Market(Domestic),Transportation Equipment,材料と過熱感を先に確認,優先して財務確認,上昇中押し目,163.4,100,24.1,-5.7,407.6,467,決算成長、出来高、直近高値,急騰後,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
211,16,6522,Asterisk Inc.,Growth Market(Domestic),Electric Appliances,最優先で財務確認,優先して財務確認,上昇中押し目,145,100,15.3,-3.7,161.8,1076,決算成長、出来高、直近高値,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
210.3,17,7477,MURAKI CORPORATION,Standard Market(Domestic),Wholesale Trade,最優先で財務確認,優先して財務確認,上昇中押し目,144.3,100,16.9,-4.8,42.6,1950,決算成長、出来高、直近高値,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
200.1,4,6058,VECTOR INC.,Prime Market (Domestic),Services,監視しながら財務確認,監視しながら財務確認,待ち,164.1,100,26.6,0,72,1565,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
189.7,7,7878,"Kohsai Co.,Ltd.",Standard Market(Domestic),Other Products,監視しながら財務確認,監視しながら財務確認,待ち,153.7,100,26.5,-5.1,25.2,1238,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
189.6,8,6696,TRaaS On Product Inc.,Growth Market(Domestic),Electric Appliances,監視しながら財務確認,監視しながら財務確認,待ち,153.6,100,24.1,-1.6,-51,246,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
187.6,10,7694,itsumo.inc.,Growth Market(Domestic),Retail Trade,監視しながら財務確認,監視しながら財務確認,待ち,151.6,100,24.3,-2.9,-17.6,420,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
184.1,13,194A,"WOLVES HAND Co.,Ltd.",Growth Market(Domestic),Services,監視しながら財務確認,監視しながら財務確認,待ち,148.1,100,20,0,65.8,1227,出来高、材料、過熱感,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
183.5,15,5016,JX Advanced Metals Corporation,Prime Market (Domestic),Nonferrous Metals,材料と過熱感を先に確認,優先して財務確認,上昇中押し目,145.5,100,16.1,-4.6,532.8,4733,決算成長、出来高、直近高値,急騰後,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します
182.7,14,5010,"NIPPON SEIRO CO.,LTD.",Standard Market(Domestic),Oil and Coal Products,監視しながら財務確認,監視しながら財務確認,待ち,146.7,100,20.6,0,23.5,231,出来高、材料、過熱感,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
179,18,3664,WIZE INC.,Growth Market(Domestic),Information & Communication,監視しながら財務確認,監視しながら財務確認,待ち,143,100,23.5,-6.1,-33.3,22,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
176.5,22,9888,"UEX,LTD.",Standard Market(Domestic),Wholesale Trade,監視しながら財務確認,監視しながら財務確認,待ち,140.5,100,21.6,-4.5,25.4,986,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
173.7,3,6993,"Daikokuya Holdings Co.,Ltd.",Standard Market(Domestic),Retail Trade,材料と過熱感を先に確認,監視しながら財務確認,待ち,165.7,100,30.6,-5,279.2,91,出来高、材料、過熱感,急騰後,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
171,28,5232,"Sumitomo Osaka Cement Co.,Ltd.",Prime Market (Domestic),Glass and Ceramics Products,監視しながら財務確認,監視しながら財務確認,待ち,135,100,20.6,-5.9,58.9,5995,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
165.8,19,2195,"AMITA HOLDINGS CO.,LTD.",Growth Market(Domestic),Services,監視しながら財務確認,監視しながら財務確認,待ち,141.8,100,19.6,-1,-4.9,330,出来高、材料、過熱感,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
165.6,20,5587,Inbound Platform Corp.,Growth Market(Domestic),Information & Communication,監視しながら財務確認,監視しながら財務確認,待ち,141.6,100,19.6,-1.1,-18.1,732,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
164.8,21,9322,"KAWANISHI WAREHOUSE CO.,LTD.",Standard Market(Domestic),Warehousing and Harbor Transportation Service,監視しながら財務確認,監視しながら財務確認,安値反転候補,140.8,100,15.9,-2.6,97.4,2258,赤字有無、下方修正、信用需給,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,安値圏から反転し始めた候補です。赤字・下方修正・信用需給が重くないか確認します
164,23,3934,"BENEFIT JAPAN Co.,LTD.",Standard Market(Domestic),Information & Communication,監視しながら財務確認,監視しながら財務確認,待ち,140,100,19.2,-1.3,31.2,2269,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
163.7,24,2332,"Quest Co.,Ltd.",Standard Market(Domestic),Information & Communication,監視しながら財務確認,監視しながら財務確認,待ち,139.7,100,18.2,0,22.8,1719,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
160.5,25,6310,"ISEKI & CO.,LTD.",Prime Market (Domestic),Machinery,監視しながら財務確認,監視しながら財務確認,待ち,136.5,100,17.1,0,33.5,1787,財務、材料、流動性,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します
159.2,26,281A,"Informetis Co.,Ltd.",Growth Market(Domestic),Information & Communication,監視しながら財務確認,監視しながら財務確認,待ち,135.2,100,16.6,0,1.4,637,出来高、材料、過熱感,なし,BPS、EPS、現金、有利子負債、発行株数、直近決算、出来高,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します
