code,name,sector,price,shares,cash,interestDebt,netAssets,bps,eps,pbrLow,pbrHigh,note,history
2876,デルソーレ,食料品,446,8905007,1715.92,90,6230.21,699.63,44.92,0.58,1.15,全体自動判定から昇格OK。低PBR 0.64倍 / 低PER 9.93倍 / ネット現金厚め 40.94% / 買いライン圏 1倍 / 上昇余地大 141.72% / 価格検証許容 勝率66.7%/平均1.1%。自動ランキング反映済み。原資料確認で精度向上,401|415|424|437|446
7551,ウェッズ,輸送用機器,672,17588932,8516.1,1188.24,19550.45,1111.52,67.34,0.54,1.08,全体自動判定から昇格OK。低PBR 0.6倍 / 低PER 9.98倍 / ネット現金厚め 62% / 買いライン圏 1倍 / 上昇余地大 153.07%。自動ランキング反映済み。原資料確認で精度向上,605|625|638|659|672
8230,はせがわ,小売業,307,18190356,2405,4305,12784,702.79,30.79,0.45,1.05,全体自動判定から昇格OK。低PBR 0.44倍 / 低PER 9.97倍 / 買いライン圏 1倍 / 上昇余地大 250.25%。自動ランキング反映済み。原資料確認で精度向上,276|286|292|301|307
7244,市光工業,電気機器,517,96599952,12431,0,80120,829.4,51.95,0.56,1.12,全体自動判定から昇格OK。低PBR 0.62倍 / 低PER 9.95倍 / ネット現金厚め 24.89% / 買いライン圏 1倍 / 上昇余地大 145.45%。自動ランキング反映済み。原資料確認で精度向上,465|481|491|507|517
8075,神鋼商事,卸売業,2388,26957576,17427,53396,100982,3745.96,340.62,0.58,1.15,全体自動判定から昇格OK。低PBR 0.64倍 / 低PER 7.01倍 / 買いライン圏 1倍 / 上昇余地大 242.33%。自動ランキング反映済み。原資料確認で精度向上,2149|2221|2269|2340|2388
9876,コックス,小売業,230,27670166,5918.22,0,10542.61,381.01,39.1,0.54,1.08,全体自動判定から昇格OK。低PBR 0.6倍 / 低PER 5.88倍 / ネット現金厚め 92.99% / 買いライン圏 0.94倍 / 上昇余地大 308%。自動ランキング反映済み。原資料確認で精度向上,207|214|219|225|230
9625,セレスポ,サービス業,1073,5481781,4499.5,550,9777.03,1783.55,124.05,0.54,1.08,全体自動判定から昇格OK。低PBR 0.6倍 / 低PER 8.65倍 / ネット現金厚め 67.15% / 買いライン圏 0.94倍 / 上昇余地大 177.47%。自動ランキング反映済み。原資料確認で精度向上,966|998|1019|1052|1073
5408,中山製鋼所,鉄鋼,604,54215323,23225,8515,109149,2013.25,64.56,0.45,1.05,全体自動判定から昇格OK。低PBR 0.3倍 / 低PER 9.36倍 / ネット現金厚め 44.92% / 買いライン圏 0.94倍 / 上昇余地大 409.98%。自動ランキング反映済み。原資料確認で精度向上,544|562|574|592|604
5958,三洋工業,金属製品,4370,2803964,7303,665,20904,7455.16,463.63,0.53,1.06,全体自動判定から昇格OK。低PBR 0.59倍 / 低PER 9.43倍 / ネット現金厚め 54.17% / 買いライン圏 0.94倍 / 上昇余地大 161.02%。自動ランキング反映済み。原資料確認で精度向上,3933|4064|4152|4283|4370
6307,サンセイ,機械,413,7771796,989.07,444.82,5329.82,685.79,51.47,0.54,1.08,全体自動判定から昇格OK。低PBR 0.6倍 / 低PER 8.02倍 / ネット現金厚め 16.96% / 買いライン圏 0.94倍 / 上昇余地大 199.1%。自動ランキング反映済み。原資料確認で精度向上,372|384|392|405|413
