code,name,sector,reviewStatus,score,price,buyLine,targetPrice,buyRatio,upside,pbr,per,netCashRatio,winRate,averageReturn,maxDrawdown,trades,signal,metricSource,earningsScore,earningsLabel,salesGrowthRate,operatingProfitGrowthRate,operatingProfitTurnaround,earningsPeriod,earningsReasons,earningsCautions,disclosureTitle,financialRiskLevel,financialRiskReasons,priceValidationLevel,priceValidationReasons,auxiliaryTrades,auxiliaryWinRate,auxiliaryAverageReturn,auxiliaryMaxDrawdown,trustLevel,reasons,cautions,nextAction
7551,ウェッズ,輸送用機器,通常候補へ昇格OK,90.7,672,673.4,1700.63,1,153.07,0.6,9.98,62,0,0,0,0,今買い候補,irbank:2026/03,16,決算強い: 増収+9.3% / 営業益+79.4%,9.3,79.4,,2027Q1,増収+9.3% / 営業益+79.4%,,2027年3月期 第1四半期決算短信,low,財務ガード通過,auxiliaryGood,補助検証良好 5回/勝率80%/平均3.1%,5,80,3.1,-7.13,high,低PBR 0.6倍 / 低PER 9.98倍 / ネット現金厚め 62% / 買いライン圏 1倍 / 上昇余地大 153.07% / 営業益+20%以上 79.4%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
2876,デルソーレ,食料品,通常候補へ昇格OK,83.81,446,447.76,1078.08,1,141.72,0.64,9.93,40.94,66.7,1.1,-2.8,3,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,good,許容 勝率66.7%/平均1.1%,5,40,-1.68,-12.33,high,低PBR 0.64倍 / 低PER 9.93倍 / ネット現金厚め 40.94% / 買いライン圏 1倍 / 上昇余地大 141.72% / 価格検証許容 勝率66.7%/平均1.1%,大きな自動除外理由なし,自動ランキングへ反映済み。通常候補追加プレビューへも反映
8230,はせがわ,小売業,通常候補へ昇格OK,66.12,307,307.9,1075.27,1,250.25,0.44,9.97,-34.02,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,thin,検証取引少 0回,5,60,-0.14,-9.6,thinValidation,低PBR 0.44倍 / 低PER 9.97倍 / 買いライン圏 1倍 / 上昇余地大 250.25%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
7244,市光工業,電気機器,通常候補へ昇格OK,65.29,517,519.5,1268.98,1,145.45,0.62,9.95,24.89,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryWeak,補助検証弱い 8回/勝率37.5%/平均-1.84%,8,37.5,-1.84,-14.92,avoid,低PBR 0.62倍 / 低PER 9.95倍 / ネット現金厚め 24.89% / 買いライン圏 1倍 / 上昇余地大 145.45%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
3454,ファーストブラザーズ,不動産業,追加確認,62.73,1190,1192.42,4483.68,1,276.78,0.64,6.37,-296.28,66.7,1.1,-5.7,3,今買い候補,irbank:2026/02,0,決算未取得,,,,,,決算短信データ未取得,,high,特殊業種 / ネット有利子負債がかなり重い -296.28%,good,許容 勝率66.7%/平均1.1%,7,57.14,0.04,-19.49,avoid,低PBR 0.64倍 / 低PER 6.37倍 / 買いライン圏 1倍 / 上昇余地大 276.78% / 価格検証許容 勝率66.7%/平均1.1%,不動産業は財務構造が特殊なため原資料確認を優先 / ネット有利子負債が重い -296.28%,自動ランキングには反映。原資料チェックで信頼度を上げる
8075,神鋼商事,卸売業,通常候補へ昇格OK,60.16,2388,2397.41,8174.88,1,242.33,0.64,7.01,-55.87,0,0,0,0,今買い候補,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,thin,検証取引少 0回,7,71.43,9.59,-17.1,thinValidation,低PBR 0.64倍 / 低PER 7.01倍 / 買いライン圏 1倍 / 上昇余地大 242.33%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングへ反映済み。通常候補追加プレビューへも反映
3297,東武住販,不動産業,追加確認,79.45,1061,1057.58,2656.32,1,150.36,0.64,9.59,5.54,100,4.2,-4.9,2,買い場近い,irbank:2026/02,0,決算未取得,,,,,,決算短信データ未取得,,medium,特殊業種,auxiliaryWeak,補助検証弱い 6回/勝率33.33%/平均-0.59%,6,33.33,-0.59,-10.1,avoid,低PBR 0.64倍 / 低PER 9.59倍 / 買いライン圏 1倍 / 上昇余地大 150.36%,不動産業は財務構造が特殊なため原資料確認を優先 / 価格検証取引少 2回。財務と現在価格を優先,自動ランキングには反映。原資料チェックで信頼度を上げる
8093,極東貿易,卸売業,追加確認,73.55,1698,1692.24,4885.68,1,187.73,0.64,8.34,26.49,0,0,0,0,買い場近い,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryWeak,補助検証弱い 7回/勝率57.14%/平均5.29%,7,57.14,5.29,-18.33,avoid,低PBR 0.64倍 / 低PER 8.34倍 / ネット現金厚め 26.49% / 買いライン圏 1倍 / 上昇余地大 187.73%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングには反映。原資料チェックで信頼度を上げる
4620,藤倉化成,化学,追加確認,57.88,1071,1066.64,2563.92,1,139.39,0.64,10.03,25.99,0,0,0,0,買い場近い,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,thin,検証取引少 0回,8,62.5,5.33,-15.58,thinValidation,低PBR 0.64倍 / ネット現金厚め 25.99% / 買いライン圏 1倍 / 上昇余地大 139.39%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングには反映。原資料チェックで信頼度を上げる
1758,太洋基礎工業,建設業,今回は見送り,93.76,2400,2379.8,7411.9,1.01,208.83,0.5,10.08,74.04,20,-1.5,-6.6,5,買い場近い,irbank:2026/04,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,weak,勝率低い 20%,6,66.67,7.49,-13.51,avoid,低PBR 0.5倍 / ネット現金厚め 74.04% / 買いライン圏 1.01倍 / 上昇余地大 208.83%,価格検証の勝率が低い 20%,ランキング上位から外す。条件改善まで買い表示しない
6488,ヨシタケ,機械,追加確認,72.17,934,922.57,2623.2,1.01,180.86,0.65,8.55,33.15,0,0,0,0,買い場近い,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryGood,補助検証良好 7回/勝率57.14%/平均4.81%,7,57.14,4.81,-13.16,watch,低PBR 0.65倍 / 低PER 8.55倍 / ネット現金厚め 33.15% / 買いライン圏 1.01倍 / 上昇余地大 180.86%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングには反映。原資料チェックで信頼度を上げる
6430,ダイコク電機,機械,追加確認,66.69,2144,2129.1,5219.35,1.01,143.44,0.63,10.07,59.56,0,0,0,0,買い場近い,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,thin,検証取引少 0回,2,100,11.53,0,thinValidation,低PBR 0.63倍 / ネット現金厚め 59.56% / 買いライン圏 1.01倍 / 上昇余地大 143.44%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングには反映。原資料チェックで信頼度を上げる
6393,油研工業,機械,追加確認,60,2845,2811.7,10101.29,1.01,255.05,0.43,10.12,-25.03,0,0,0,0,買い場近い,irbank:2026/03,0,決算未取得,,,,,,決算短信データ未取得,,low,財務ガード通過,auxiliaryGood,補助検証良好 5回/勝率60%/平均4.79%,5,60,4.79,-7.18,watch,低PBR 0.43倍 / 買いライン圏 1.01倍 / 上昇余地大 255.05%,価格検証取引少 0回。財務と現在価格を優先,自動ランキングには反映。原資料チェックで信頼度を上げる
