rank,code,name,market,sector,status,normalCandidate,autoBuyScore,rankingScore,multibaggerScore,multibaggerLabel,multibaggerReasons,doubleTag,doubleTargetPrice,doubleTimeframe,doubleComment,price,buyLine,targetPrice,sellGuidePrice,buyRatio,upside,pbr,per,netCashRatio,winRate,averageReturn,maxDrawdown,trades,priceScore,latestSignal,periodReturn,signal,judgement,metricSource,action,comment,caution
1,6276,シリウスビジョン,スタンダード（内国株式）,電気機器,自動買い場近い,通常候補登録済み,164.01,231.01,67,2倍期待強,上昇中押し目 / 広域検証良好 / 価格スコア104.8 / 勝率100%/平均27.9% / 下落浅め0% / ネット現金50%以上 / 低PBR+低PER,2倍候補,614,早ければ2〜4か月、通常は6〜12か月目安,過去の強い上昇中押し目では短期2倍化が出ています。出来高と材料継続が前提です,307,284.95,2677.92,368.4,1.08,772.29,0.69,2.75,66.39,100,27.9,0,2,104.8,上昇中押し目,7.7,買い場近い,良さそう,confirmed,通常候補として自動ランキング反映,買い場近い。自動取得財務と月次シグナルで条件内です。2倍候補: 早ければ2〜4か月、通常は6〜12か月目安。2倍期待強: 上昇中押し目 / 広域検証良好 / 価格スコア104.8 / 勝率100%/平均27.9% / 下落浅め0% / ネット現金50%以上 / 低PBR+低PER,自動取得財務で判定。原資料チェック推奨
2,8338,筑波銀行,プライム（内国株式）,銀行業,自動今買い候補,通常候補前,138.35,204.35,66,2倍期待強,上昇中押し目 / 広域検証良好 / 価格スコア82.2 / 検証5回 / 勝率100%/平均13.6% / 下落浅め-2.5% / 低PBR+低PER / 特殊業種は財務指標を割引,2倍候補,1254,6〜12か月目安,2倍条件は強いですが、短期化には出来高増加と材料が必要です,627,813,1965.18,1016.25,0.77,213.43,0.49,7.71,312.22,100,13.6,-2.5,5,82.2,上昇中押し目,171.4,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です。2倍候補: 6〜12か月目安。2倍期待強: 上昇中押し目 / 広域検証良好 / 価格スコア82.2 / 検証5回 / 勝率100%/平均13.6% / 下落浅め-2.5% / 低PBR+低PER / 特殊業種は財務指標を割引,自動取得財務で判定。原資料チェック推奨
3,7261,マツダ,プライム（内国株式）,輸送用機器,自動今買い候補,通常候補前,147.55,196.55,49,2倍期待強,広域検証良好 / 価格スコア67.5 / 勝率100%/平均13.3% / 下落浅め-0.2% / ネット現金50%以上 / 低PBR+低PER,2倍候補,2198,6〜12か月目安,2倍条件は強いですが、短期化には出来高増加と材料が必要です,1099,1426.8,4622.07,1783.5,0.77,320.57,0.36,7.7,65.6,100,13.3,-0.2,2,67.5,待ち,25.6,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です。2倍候補: 6〜12か月目安。2倍期待強: 広域検証良好 / 価格スコア67.5 / 勝率100%/平均13.3% / 下落浅め-0.2% / ネット現金50%以上 / 低PBR+低PER,自動取得財務で判定。原資料チェック推奨
4,6497,ハマイ,スタンダード（内国株式）,機械,自動今買い候補,通常候補前,133.48,195.48,62,2倍期待強,上昇中押し目 / 広域検証良好 / 価格スコア64.7 / 勝率100%/平均10.6% / 下落浅め-4.5% / 低PBR+低PER,2倍候補,2668,6〜12か月目安,2倍条件は強いですが、短期化には出来高増加と材料が必要です,1334,1462.3,3969.02,1827.88,0.91,197.53,0.51,9.12,48.88,100,10.6,-4.5,2,64.7,上昇中押し目,21.5,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です。2倍候補: 6〜12か月目安。2倍期待強: 上昇中押し目 / 広域検証良好 / 価格スコア64.7 / 勝率100%/平均10.6% / 下落浅め-4.5% / 低PBR+低PER,自動取得財務で判定。原資料チェック推奨
5,7266,今仙電機製作所,スタンダード（内国株式）,輸送用機器,自動今買い候補,通常候補前,140.75,189.75,49,2倍期待強,広域検証良好 / 価格スコア61 / 勝率100%/平均12.1% / 下落浅め-3.5% / ネット現金50%以上 / 低PBR+低PER,2倍候補,1806,6〜12か月目安,2倍条件は強いですが、短期化には出来高増加と材料が必要です,903,1082.8,4015.45,1353.5,0.83,344.68,0.34,8.34,64.79,100,12.1,-3.5,2,61,待ち,32.6,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です。2倍候補: 6〜12か月目安。2倍期待強: 広域検証良好 / 価格スコア61 / 勝率100%/平均12.1% / 下落浅め-3.5% / ネット現金50%以上 / 低PBR+低PER,自動取得財務で判定。原資料チェック推奨
6,7446,東北化学薬品,スタンダード（内国株式）,卸売業,自動今買い候補,通常候補前,134.92,184.92,50,2倍期待強,上昇中押し目 / 価格スコア62.1 / 勝率100%/平均17.8% / 下落浅め-1.3% / 低PBR+低PER,2倍候補,9250,6〜12か月目安,2倍条件は強いですが、短期化には出来高増加と材料が必要です,4625,4773,14334.92,5966.25,0.97,209.94,0.49,9.69,14.14,100,17.8,-1.3,1,62.1,上昇中押し目,20.1,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です。2倍候補: 6〜12か月目安。2倍期待強: 上昇中押し目 / 価格スコア62.1 / 勝率100%/平均17.8% / 下落浅め-1.3% / 低PBR+低PER,自動取得財務で判定。原資料チェック推奨
7,8152,ソマール,スタンダード（内国株式）,卸売業,自動今買い候補,通常候補前,130.21,180.21,50,2倍期待強,上昇中押し目 / 価格スコア63.1 / 勝率100%/平均18% / 下落浅め-0.7% / 低PBR+低PER,2倍候補,14100,6〜12か月目安,2倍条件は強いですが、短期化には出来高増加と材料が必要です,7050,7377,31086.96,9221.25,0.96,340.95,0.61,5.44,37.74,100,18,-0.7,1,63.1,上昇中押し目,25.9,今買い候補,中立,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です。2倍候補: 6〜12か月目安。2倍期待強: 上昇中押し目 / 価格スコア63.1 / 勝率100%/平均18% / 下落浅め-0.7% / 低PBR+低PER,自動取得財務で判定。原資料チェック推奨
8,8147,トミタ,スタンダード（内国株式）,卸売業,自動今買い候補,通常候補前,128.07,180.07,52,2倍期待強,広域検証良好 / 価格スコア62.4 / 勝率100%/平均11.3% / 下落浅め-1% / ネット現金100%以上 / 低PBR+低PER,2倍候補,2556,6〜12か月目安,2倍条件は強いですが、短期化には出来高増加と材料が必要です,1278,1310.9,3812.7,1638.63,0.97,198.33,0.51,9.75,100.36,100,11.3,-1,2,62.4,待ち,3.6,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です。2倍候補: 6〜12か月目安。2倍期待強: 広域検証良好 / 価格スコア62.4 / 勝率100%/平均11.3% / 下落浅め-1% / ネット現金100%以上 / 低PBR+低PER,自動取得財務で判定。原資料チェック推奨
9,1443,技研ホールディングス,スタンダード（内国株式）,建設業,自動今買い候補,通常候補登録済み,132.52,176.52,44,2倍期待あり,広域検証良好 / 価格スコア68.6 / 勝率100%/平均13.8% / 下落浅め0% / 低PBR+低PER,2倍監視,488,9〜18か月目安,2倍要素はあります。まず第一利確とPBR平均到達を確認します,244,394.2,1217.9,492.75,0.62,399.14,0.31,6.19,-36.94,100,13.8,0,2,68.6,待ち,29.1,今買い候補,良さそう,irbank:2026/03,通常候補として自動ランキング反映,今買い候補。自動取得財務と月次シグナルで条件内です。2倍監視: 9〜18か月目安。2倍期待あり: 広域検証良好 / 価格スコア68.6 / 勝率100%/平均13.8% / 下落浅め0% / 低PBR+低PER,自動取得財務で判定。原資料チェック推奨
10,3352,バッファロー,スタンダード（内国株式）,小売業,自動今買い候補,通常候補前,127.21,176.21,49,2倍期待強,広域検証良好 / 価格スコア57.7 / 勝率100%/平均10% / 下落浅め-2.8% / ネット現金50%以上 / 低PBR+低PER,2倍候補,3316,6〜12か月目安,2倍条件は強いですが、短期化には出来高増加と材料が必要です,1658,1774.92,4967.04,2218.65,0.93,199.58,0.6,8.01,76.75,100,10,-2.8,2,57.7,待ち,24.1,今買い候補,良さそう,irbank:2026/03,自動取得財務でランキング反映。原資料チェックで精度を上げる,今買い候補。自動取得財務と月次シグナルで条件内です。2倍候補: 6〜12か月目安。2倍期待強: 広域検証良好 / 価格スコア57.7 / 勝率100%/平均10% / 下落浅め-2.8% / ネット現金50%以上 / 低PBR+低PER,自動取得財務で判定。原資料チェック推奨
