code,name,market,sector,status,priceStatus,financialStatus,metricSource,action,lastClose,priceJudgement,financialError
1301,極洋,プライム（内国株式）,水産・農林業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,4505,中立,
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,医薬品,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,425,見送り寄り,
1332,ニッスイ,プライム（内国株式）,水産・農林業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1305,中立,
1333,Ｕｍｉｏｓ,プライム（内国株式）,水産・農林業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1318,中立,
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,情報・通信業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,4115,中立,
1375,ユキグニファクトリー,プライム（内国株式）,水産・農林業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1183,中立,
1376,カネコ種苗,スタンダード（内国株式）,水産・農林業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,1483,見送り寄り,
1377,サカタのタネ,プライム（内国株式）,水産・農林業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,4275,中立,
1379,ホクト,プライム（内国株式）,水産・農林業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1911,見送り寄り,
137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,情報・通信業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,804,中立,
1380,秋川牧園,スタンダード（内国株式）,水産・農林業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1002,見送り寄り,
1381,アクシーズ,スタンダード（内国株式）,水産・農林業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,3515,見送り寄り,
1382,ホーブ,スタンダード（内国株式）,水産・農林業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1066,未約定,
1383,ベルグアース,スタンダード（内国株式）,水産・農林業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/04,ランキング判定に利用,2929,中立,
1384,ホクリヨウ,スタンダード（内国株式）,水産・農林業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2021,中立,
138A,光フードサービス,グロース（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,3095,良さそう,
1401,エムビーエス,グロース（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,1290,見送り寄り,
1407,ウエストホールディングス,スタンダード（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,2237,中立,
1414,ショーボンドホールディングス,プライム（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1270,中立,
1417,ミライト・ワン,プライム（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,3757,中立,
1418,インターライフホールディングス,スタンダード（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,535,中立,
1419,タマホーム,プライム（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,3005,中立,
141A,トライアルホールディングス,グロース（内国株式）,小売業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,3010,中立,
1420,サンヨーホームズ,スタンダード（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,634,中立,
1429,日本アクア,プライム（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,741,中立,
142A,ジンジブ,グロース（内国株式）,サービス業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,763,中立,
1430,ファーストコーポレーション,スタンダード（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,960,中立,
1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,645,見送り寄り,
1433,ベステラ,プライム（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/04,ランキング判定に利用,1135,中立,
1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,1810,中立,
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,不動産業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,163,中立,
1436,グリーンエナジー＆カンパニー,グロース（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/04,ランキング判定に利用,1413,中立,
1438,岐阜造園,スタンダード（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1910,中立,
143A,イシン,グロース（内国株式）,サービス業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,725,見送り寄り,
1443,技研ホールディングス,スタンダード（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,247,良さそう,
1444,ニッソウ,グロース（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/04,ランキング判定に利用,2881,良さそう,
1446,キャンディル,スタンダード（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,534,良さそう,
1447,ＳＡＡＦホールディングス,グロース（内国株式）,建設業,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,439,良さそう,
