code,name,market,sector,price,bps,eps,cash,securities,investmentSecurities,interestDebt,netAssets,rentalBook,rentalMarket,shares,treasuryShares,asOf,confidence,source,monthlyHistoryCount,priceScore,reason
175A,Ｗｉｌｌ　Ｓｍａｒｔ,グロース（内国株式）,情報・通信業,588,784,49,1568,0,0,1176,7840,0,0,10000000,0,completionEstimate,補完,priceEstimate,28,-16.6,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
186A,アストロスケールホールディングス,グロース（内国株式）,サービス業,1073,1430.67,89.42,2861,0,0,2146,14307,0,0,10000000,0,completionEstimate,補完,priceEstimate,26,58.1,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2120,ＬＩＦＵＬＬ,プライム（内国株式）,サービス業,199,265.33,16.58,531,0,0,398,2653,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,6.7,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2160,ジーエヌアイグループ,グロース（内国株式）,医薬品,2605,3473.33,217.08,6947,0,0,5210,34733,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,19.6,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2170,リンクアンドモチベーション,プライム（内国株式）,サービス業,596,794.67,49.67,1589,0,0,1192,7947,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,60.1,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2193,クックパッド,スタンダード（内国株式）,サービス業,116,154.67,9.67,309,0,0,232,1547,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,3.3,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2282,日本ハム,プライム（内国株式）,食料品,6316,8421.33,526.33,16843,0,0,12632,84213,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,22.1,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2338,クオンタムソリューションズ,スタンダード（内国株式）,情報・通信業,114,152,9.5,304,0,0,228,1520,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,-30,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2413,エムスリー,プライム（内国株式）,サービス業,1918,2557.33,159.83,5115,0,0,3836,25573,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,22.5,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2432,ディー・エヌ・エー,プライム（内国株式）,情報・通信業,2561,3414.67,213.42,6829,0,0,5122,34147,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,12,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2502,アサヒグループホールディングス,プライム（内国株式）,食料品,1660.5,2214,138.38,4428,0,0,3321,22140,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,7,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2503,キリンホールディングス,プライム（内国株式）,食料品,2905,3873.33,242.08,7747,0,0,5810,38733,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,51.6,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
254A,ＡＩフュージョンキャピタルグループ,スタンダード（内国株式）,証券、商品先物取引業,1134,1512,94.5,3024,0,0,2268,15120,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,48.7,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2587,サントリービバレッジ＆フード,プライム（内国株式）,食料品,4694,6258.67,391.17,12517,0,0,9388,62587,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,9.3,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2686,ジーフット,スタンダード（内国株式）,小売業,297,396,24.75,792,0,0,594,3960,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,28.4,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
268A,リガク・ホールディングス,プライム（内国株式）,精密機器,2173,2897.33,181.08,5795,0,0,4346,28973,0,0,10000000,0,completionEstimate,補完,priceEstimate,22,22.5,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2768,双日,プライム（内国株式）,卸売業,5199,6932,433.25,13864,0,0,10398,69320,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,51.1,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2802,味の素,プライム（内国株式）,食料品,5702,7602.67,475.17,15205,0,0,11404,76027,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,67.1,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
285A,キオクシアホールディングス,プライム（内国株式）,電気機器,71870,95826.67,5989.17,191653,0,0,143740,958267,0,0,10000000,0,completionEstimate,補完,priceEstimate,20,71.3,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
287A,黒田グループ,スタンダード（内国株式）,卸売業,1105,1473.33,92.08,2947,0,0,2210,14733,0,0,10000000,0,completionEstimate,補完,priceEstimate,20,18.5,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
2914,日本たばこ産業,プライム（内国株式）,食料品,6202,8269.33,516.83,16539,0,0,12404,82693,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,48.9,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3197,すかいらーくホールディングス,プライム（内国株式）,小売業,2995,3993.33,249.58,7987,0,0,5990,39933,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,32.3,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3291,飯田グループホールディングス,プライム（内国株式）,不動産業,2236,2981.33,186.33,5963,0,0,4472,29813,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,44.9,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3397,トリドールホールディングス,プライム（内国株式）,小売業,4026,5368,335.5,10736,0,0,8052,53680,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,38.3,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
339A,プログレス・テクノロジーズ　グループ,グロース（内国株式）,サービス業,955,1273.33,79.58,2547,0,0,1910,12733,0,0,10000000,0,completionEstimate,補完,priceEstimate,17,8.9,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3447,信和,スタンダード（内国株式）,金属製品,946,1261.33,78.83,2523,0,0,1892,12613,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,24.5,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3543,コメダホールディングス,プライム（内国株式）,卸売業,2866,3821.33,238.83,7643,0,0,5732,38213,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,16.5,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,プライム（内国株式）,小売業,4931,6574.67,410.92,13149,0,0,9862,65747,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,11.5,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3591,ワコールホールディングス,プライム（内国株式）,繊維製品,4522,6029.33,376.83,12059,0,0,9044,60293,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,43.6,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3659,ネクソン,プライム（内国株式）,情報・通信業,2295.5,3060.67,191.29,6121,0,0,4591,30607,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,7.9,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3673,ブロードリーフ,プライム（内国株式）,情報・通信業,424,565.33,35.33,1131,0,0,848,5653,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,68.7,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
3679,じげん,プライム（内国株式）,情報・通信業,400,533.33,33.33,1067,0,0,800,5333,0,0,10000000,0,completionEstimate,補完,priceEstimate,36,7.4,priceEstimateを保守補完。買いラインが現在値より下になる前提でチャートと判定を継続
