code,name,market,sector,price,bps,eps,cash,securities,investmentSecurities,interestDebt,netAssets,rentalBook,rentalMarket,shares,treasuryShares,period,sourceUrl,status,error,fetchedAt
1301,極洋,プライム（内国株式）,水産・農林業,4385,6511.25,606.2,11047,0,0,91612,78868,0,0,12112574,0,2026/03,https://irbank.net/1301/results,取得成功,,2026-06-27T00:59:43.761Z
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,医薬品,430,235.47,-87.4,325.21,0,0,0,1783.87,0,0,7575785,0,2026/03,https://irbank.net/130A/results,取得成功,,2026-06-27T00:59:43.744Z
1332,ニッスイ,プライム（内国株式）,水産・農林業,1287,989.61,95.62,24251,0,0,263937,309943,0,0,313197118,0,2026/03,https://irbank.net/1332/results,取得成功,,2026-06-27T00:59:43.757Z
1333,Ｕｍｉｏｓ,プライム（内国株式）,水産・農林業,1299.5,1635.34,99.22,52931,0,0,306880,291487,0,0,178242445,0,2026/03,https://irbank.net/1333/results,取得成功,,2026-06-27T00:59:43.748Z
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,情報・通信業,3985,203.39,94.77,427,0,0,400,2086,0,0,10256158,0,2026/02,https://irbank.net/135A/results,取得成功,,2026-06-27T00:59:43.736Z
1375,ユキグニファクトリー,プライム（内国株式）,水産・農林業,1115,370.33,63.69,3968,0,0,11350,14770,0,0,39883347,0,2026/03,https://irbank.net/1375/results,取得成功,,2026-06-27T00:59:43.765Z
1376,カネコ種苗,スタンダード（内国株式）,水産・農林業,1453,2330.28,136.78,1608.08,0,0,0,25013.91,0,0,10734294,0,2026/02,https://irbank.net/1376/results,取得成功,,2026-06-27T00:59:43.752Z
1377,サカタのタネ,プライム（内国株式）,水産・農林業,4185,4095.39,236.63,22445,0,0,2868,161768,0,0,39500023,0,2026/02,https://irbank.net/1377/results,取得成功,,2026-06-27T00:59:43.759Z
1379,ホクト,プライム（内国株式）,水産・農林業,1837,2071.15,167.48,18861,0,0,20197,64924,0,0,31346836,0,2026/03,https://irbank.net/1379/results,取得成功,,2026-06-27T00:59:43.769Z
137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,情報・通信業,742,338.75,46.98,878.48,0,0,0,889.69,0,0,2626391,0,2026/02,https://irbank.net/137A/results,取得成功,,2026-06-27T00:59:43.743Z
1380,秋川牧園,スタンダード（内国株式）,水産・農林業,999,522.11,19.19,904.77,0,0,2998.91,2181.83,0,0,4178870,0,2026/03,https://irbank.net/1380/results,取得成功,,2026-06-27T00:59:43.876Z
1381,アクシーズ,スタンダード（内国株式）,水産・農林業,3535,4146.08,427.38,7733,0,0,48,21601,0,0,5209981,0,2026/03,https://irbank.net/1381/results,取得成功,,2026-06-27T00:59:43.872Z
1382,ホーブ,スタンダード（内国株式）,水産・農林業,1450,954.29,23.63,306.1,0,0,4.01,756.2,0,0,792422,0,2026/03,https://irbank.net/1382/results,取得成功,,2026-06-27T00:59:43.874Z
1383,ベルグアース,スタンダード（内国株式）,水産・農林業,2859,1308.23,33.74,873.21,0,0,2377.28,2174.38,0,0,1662078,0,2026/04,https://irbank.net/1383/results,取得成功,,2026-06-27T00:59:43.877Z
1384,ホクリヨウ,スタンダード（内国株式）,水産・農林業,2015,2070.97,268.36,7304,0,0,1133,17518,0,0,8458838,0,2026/03,https://irbank.net/1384/results,取得成功,,2026-06-27T00:59:43.869Z
138A,光フードサービス,グロース（内国株式）,小売業,2961,1352.33,128.02,1388.13,0,0,830.76,1310.1,0,0,968772,0,2026/02,https://irbank.net/138A/results,取得成功,,2026-06-27T00:59:43.886Z
1401,エムビーエス,グロース（内国株式）,建設業,1299,538.08,72.13,1827.41,0,0,0,3696.62,0,0,6870019,0,2026/02,https://irbank.net/1401/results,取得成功,,2026-06-27T00:59:43.889Z
1407,ウエストホールディングス,スタンダード（内国株式）,建設業,2345,866.63,166.47,35707,0,0,94121,36537,0,0,42159861,0,2026/02,https://irbank.net/1407/results,取得成功,,2026-06-27T00:59:43.891Z
1414,ショーボンドホールディングス,プライム（内国株式）,建設業,1255,516.52,75.98,32523,0,0,0,106392,0,0,205978471,0,2026/03,https://irbank.net/1414/results,取得成功,,2026-06-27T00:59:43.893Z
1417,ミライト・ワン,プライム（内国株式）,建設業,3894,3151.6,287.6,57084,0,0,119576,288447,0,0,91523988,0,2026/03,https://irbank.net/1417/results,取得成功,,2026-06-27T00:59:43.895Z
1418,インターライフホールディングス,スタンダード（内国株式）,建設業,517,306.55,52.45,2598.39,0,0,1455.92,4676.05,0,0,15253792,0,2026/02,https://irbank.net/1418/results,取得成功,,2026-06-27T00:59:43.988Z
1419,タマホーム,プライム（内国株式）,建設業,2790,891.81,46.57,31001,0,0,19049,34275,0,0,38433074,0,2026/02,https://irbank.net/1419/results,取得成功,,2026-06-27T00:59:43.989Z
141A,トライアルホールディングス,グロース（内国株式）,小売業,2952,1067.09,4.08,72325,0,0,38558,129028,0,0,120915762,0,2026/03,https://irbank.net/141A/results,取得成功,,2026-06-27T00:59:43.982Z
1420,サンヨーホームズ,スタンダード（内国株式）,建設業,623,1399.78,117.53,9055.25,0,0,19464,17012.84,0,0,12153938,0,2026/03,https://irbank.net/1420/results,取得成功,,2026-06-27T00:59:43.996Z
1429,日本アクア,プライム（内国株式）,建設業,738,337.11,61.28,2415.16,0,0,4800,11633.9,0,0,34510694,0,2026/03,https://irbank.net/1429/results,取得成功,,2026-06-27T00:59:43.994Z
142A,ジンジブ,グロース（内国株式）,サービス業,729,197.68,102.92,1684.22,0,0,422.45,577.26,0,0,2920174,0,2026/03,https://irbank.net/142A/results,取得成功,,2026-06-27T00:59:43.997Z
1430,ファーストコーポレーション,スタンダード（内国株式）,建設業,921,855.44,153.45,5400.03,0,0,4714.44,9760.9,0,0,11410385,0,2026/02,https://irbank.net/1430/results,取得成功,,2026-06-27T00:59:44.008Z
1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,建設業,645,186.84,8.17,3809.39,0,0,3806.39,4714.56,0,0,25233141,0,2026/03,https://irbank.net/1431/results,取得成功,,2026-06-27T00:59:44.013Z
1433,ベステラ,プライム（内国株式）,建設業,1121,604.85,79,1434.38,0,0,570.7,5397.53,0,0,8923750,0,2026/04,https://irbank.net/1433/results,取得成功,,2026-06-27T00:59:44.007Z
1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,建設業,1830,1164.4,158.08,3012.67,0,0,5513.55,7561.33,0,0,6493756,0,2026/02,https://irbank.net/1434/results,取得成功,,2026-06-27T00:59:44.011Z
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,不動産業,161,122.73,22.51,7505.02,0,0,1322.56,11167.03,0,0,90988593,0,2026/03,https://irbank.net/1435/results,取得成功,,2026-06-27T00:59:44.077Z
