rankSeed,code,name,market,sector,points,firstDate,lastDate,lastClose,periodReturn,bestStrategy,trades,winRate,averageReturn,maxDrawdown,latestSignal,priceScore,judgement,error
1282,4378,CINC Corp.,Growth Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,551,-15.4,高値更新,2,100,46,0,上昇中押し目,141.1,良さそう,
1031,3936,"Globalway,Inc.",Growth Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,161,-21.8,安値反転,1,100,53.1,-4.6,待ち,120.6,中立,
3461,9338,INFORICH INC.,Growth Market(Domestic),Services,248,2025-06-09,2026-06-15,4530,50.2,高値更新,1,100,46.5,0,高値圏,109.1,中立,
965,3823,"THE WHY HOW DO COMPANY,Inc.",Standard Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,31,-75.8,安値反転,1,100,44,0,待ち,108,中立,
732,3358,"Trailhead Global Holdings,Inc.",Standard Market(Domestic),Retail Trade,254,2025-06-09,2026-06-23,85,-12.4,高値更新,1,100,46.6,-5.8,待ち,106.2,中立,
1432,4596,"Kubota Pharmaceutical Holdings Co.,Ltd.",Growth Market(Domestic),Pharmaceutical,254,2025-06-09,2026-06-23,55,31,安値反転,1,100,45.7,-4.3,待ち,106.1,中立,
2096,6276,"SiriusVision CO.,LTD.",Standard Market(Domestic),Electric Appliances,254,2025-06-09,2026-06-23,300,6.4,高値更新,2,100,27.9,0,上昇中押し目,104.8,良さそう,
2875,7771,"Nihon Seimitsu Co.,Ltd.",Standard Market(Domestic),Precision Instruments,254,2025-06-09,2026-06-23,315,275,安値反転,1,100,40.7,0,待ち,101.4,中立,
1298,4395,Accrete Inc.,Growth Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,688,-15.6,安値反転,1,100,43.3,-4.7,待ち,101,中立,
316,2385,Soiken Holdings Inc.,Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,242,51.2,高値更新,1,100,39.3,0,待ち,98.6,中立,
47,1514,"Sumiseki Holdings,Inc.",Standard Market(Domestic),Mining,254,2025-06-09,2026-06-23,532,-17.8,高値更新,2,100,31.5,-4.9,待ち,98.2,良さそう,
155,1945,TOKYO ENERGY & SYSTEMS INC.,Prime Market (Domestic),Construction,254,2025-06-09,2026-06-23,2206,83.4,安値反転,1,100,37.6,-4.4,上昇中押し目,97.8,中立,
2479,6993,"Daikokuya Holdings Co.,Ltd.",Standard Market(Domestic),Retail Trade,254,2025-06-09,2026-06-23,91,279.2,高値更新,2,100,30.6,-5,待ち,96.2,良さそう,
2897,7810,"Crossfor Co.,Ltd.",Standard Market(Domestic),Other Products,254,2025-06-09,2026-06-23,155,-14.8,安値反転,1,100,41.3,-6,待ち,95.5,中立,
1295,4392,"Future Innovation Group,Inc.",Prime Market (Domestic),Information & Communication,254,2025-06-09,2026-06-23,1125,312.1,安値反転,2,100,26.9,-6.6,上昇中押し目,95,良さそう,
1973,6058,VECTOR INC.,Prime Market (Domestic),Services,254,2025-06-09,2026-06-23,1565,72,安値反転,2,100,26.6,0,待ち,94.2,良さそう,
3649,9818,"DAIMARU ENAWIN Co.,Ltd.",Standard Market(Domestic),Wholesale Trade,254,2025-06-09,2026-06-23,1560,-6.1,安値反転,1,100,36.3,0,待ち,92.6,中立,
2627,7256,"KASAI KOGYO CO.,LTD.",Standard Market(Domestic),Transportation Equipment,254,2025-06-09,2026-06-23,467,407.6,上昇中押し目,2,100,24.1,-5.7,上昇中押し目,90.3,良さそう,
1694,5216,"KURAMOTO CO.,LTD.",Standard Market(Domestic),Glass and Ceramics Products,254,2025-06-09,2026-06-23,154,-27.4,安値反転,1,100,36.2,-2.3,待ち,89.5,中立,
421,2693,YKT CORPORATION,Standard Market(Domestic),Wholesale Trade,254,2025-06-09,2026-06-23,366,54.4,上昇中押し目,1,100,33.1,-4,上昇中押し目,89.3,中立,
2782,7567,SAKAE ELECTRONICS CORPORATION,Standard Market(Domestic),Wholesale Trade,254,2025-06-09,2026-06-23,547,21,安値反転,2,100,21.5,-2.4,上昇中押し目,89,良さそう,
2939,7878,"Kohsai Co.,Ltd.",Standard Market(Domestic),Other Products,254,2025-06-09,2026-06-23,1238,25.2,安値反転,2,100,26.5,-5.1,待ち,87.9,良さそう,
1939,5989,"H-ONE CO.,LTD.",Prime Market (Domestic),Metal Products,254,2025-06-09,2026-06-23,1469,19.5,安値反転,2,100,21.1,-3,上昇中押し目,87.6,良さそう,
2889,7800,"Amifa Co.,Ltd.",Standard Market(Domestic),Other Products,254,2025-06-09,2026-06-23,850,36.7,安値反転,1,100,34,-0.3,待ち,87.5,中立,
2334,6696,TRaaS On Product Inc.,Growth Market(Domestic),Electric Appliances,254,2025-06-09,2026-06-23,246,-51,安値反転,2,100,24.1,-1.6,待ち,87.2,良さそう,
2768,7537,MARUBUN CORPORATION,Prime Market (Domestic),Wholesale Trade,254,2025-06-09,2026-06-23,1726,71.2,安値反転,1,100,34.2,-1,待ち,87.2,中立,
2950,7901,MATSUMOTO INC.,Standard Market(Domestic),Other Products,254,2025-06-09,2026-06-23,770,-1.7,高値更新,2,100,22.7,0,待ち,86.3,良さそう,
2837,7694,itsumo.inc.,Growth Market(Domestic),Retail Trade,254,2025-06-09,2026-06-23,420,-17.6,安値反転,2,100,24.3,-2.9,待ち,86,良さそう,
62,1711,"SDS HOLDINGS Co.,Ltd.",Standard Market(Domestic),Construction,254,2025-06-09,2026-06-23,220,-12,安値反転,1,100,32.7,-0.8,待ち,84.4,中立,
158,194A,"WOLVES HAND Co.,Ltd.",Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,1227,65.8,高値更新,3,100,20,0,待ち,84.1,良さそう,
2044,6189,Global Kids Company Corp.,Standard Market(Domestic),Services,254,2025-06-09,2026-06-23,953,38.7,安値反転,1,100,32.8,-1.2,待ち,84.1,中立,
1307,4410,"HARIMA CHEMICALS GROUP,INC.",Prime Market (Domestic),Chemicals,254,2025-06-09,2026-06-23,1072,37.1,安値反転,2,100,20.6,-5.8,上昇中押し目,83.3,良さそう,
3451,9322,"KAWANISHI WAREHOUSE CO.,LTD.",Standard Market(Domestic),Warehousing and Harbor Transportation Service,254,2025-06-09,2026-06-23,2258,97.4,高値更新,3,100,15.9,-2.6,安値反転候補,82.6,良さそう,
1628,5010,"NIPPON SEIRO CO.,LTD.",Standard Market(Domestic),Oil and Coal Products,254,2025-06-09,2026-06-23,231,23.5,高値更新,2,100,20.6,0,待ち,82.2,良さそう,
2859,7733,OLYMPUS CORPORATION,Prime Market (Domestic),Precision Instruments,254,2025-06-09,2026-06-23,1638,-14.5,安値反転,1,100,31.1,0,待ち,82.2,中立,
3163,8338,"Tsukuba Bank,Ltd.",Prime Market (Domestic),Banks,254,2025-06-09,2026-06-23,633,168.2,高値更新,5,100,13.6,-2.5,上昇中押し目,82.2,良さそう,
600,3086,"J.FRONT RETAILING Co.,Ltd.",Prime Market (Domestic),Retail Trade,254,2025-06-09,2026-06-23,2885,44.5,安値反転,2,100,22.5,0,高値圏,82,良さそう,
1692,5210,"Nihon Yamamura Glass Co.,Ltd.",Standard Market(Domestic),Glass and Ceramics Products,254,2025-06-09,2026-06-23,2726,9.7,高値更新,1,100,27.4,-2.9,安値反転候補,81.4,中立,
1903,5939,"OTANI KOGYO CO.,LTD.",Standard Market(Domestic),Metal Products,254,2025-06-09,2026-06-23,5000,-8.8,高値更新,3,100,15.3,-2.7,安値反転候補,81.3,良さそう,
2526,7069,"CyberBuzz,Inc.",Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,1254,71.5,安値反転,2,100,19.5,-5.7,上昇中押し目,81.1,良さそう,
3700,9941,"TAIYO BUSSAN KAISHA,LTD.",Standard Market(Domestic),Wholesale Trade,254,2025-06-09,2026-06-23,1195,22.6,上昇中押し目,2,100,16,0,上昇中押し目,81.1,良さそう,
2692,7376,"BCC Co.,Ltd.",Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,1119,87.5,安値反転,1,100,27.2,-1.3,上昇中押し目,81,中立,
958,3803,Image Information Inc.,Growth Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,470,-6.4,安値反転,1,100,33.1,-4.5,待ち,80.8,中立,
2039,6182,MetaReal Corporation,Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,537,-0.4,安値反転,1,100,31.4,-1.7,待ち,80.8,中立,
886,3664,WIZE INC.,Growth Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,22,-33.3,安値反転,2,100,23.5,-6.1,待ち,80.7,良さそう,
1907,5943,NORITZ CORPORATION,Prime Market (Domestic),Metal Products,254,2025-06-09,2026-06-23,2231,17.4,安値反転,1,100,30.9,-0.9,待ち,80.7,中立,
3691,9913,NIPPO LTD.,Standard Market(Domestic),Wholesale Trade,254,2025-06-09,2026-06-23,3785,59,安値反転,1,100,26.4,0,上昇中押し目,80.7,中立,
1642,5031,Moi Corporation,Growth Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,330,37.5,安値反転,1,100,29.8,0,待ち,79.6,中立,
71,1726,Br.Holdings Corporation,Prime Market (Domestic),Construction,239,2025-06-09,2026-06-02,526,61.3,安値反転,1,100,32,-0.6,高値圏,79.3,中立,
1858,5830,"Iyogin Holdings,Inc.",Prime Market (Domestic),Banks,254,2025-06-09,2026-06-23,3114,102.2,高値更新,3,100,14.4,-1.4,上昇中押し目,79.2,良さそう,
240,2195,"AMITA HOLDINGS CO.,LTD.",Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,330,-4.9,高値更新,2,100,19.6,-1,待ち,79,良さそう,
1804,5587,Inbound Platform Corp.,Growth Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,732,-18.1,安値反転,2,100,19.6,-1.1,待ち,78.8,良さそう,
1632,5016,JX Advanced Metals Corporation,Prime Market (Domestic),Nonferrous Metals,254,2025-06-09,2026-06-23,4733,532.8,上昇中押し目,3,100,16.1,-4.6,上昇中押し目,78.7,良さそう,
3680,9888,"UEX,LTD.",Standard Market(Domestic),Wholesale Trade,254,2025-06-09,2026-06-23,986,25.4,安値反転,2,100,21.6,-4.5,待ち,78.7,良さそう,
3716,9980,MRK HOLDINGS INC.,Standard Market(Domestic),Retail Trade,254,2025-06-09,2026-06-23,93,9.4,高値更新,1,100,29.3,0,待ち,78.5,中立,
1798,5575,Globee Inc.,Growth Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,610,-27.7,高値更新,1,100,29.2,0,待ち,78.4,中立,
2716,7435,"NADEX CO.,LTD.",Standard Market(Domestic),Wholesale Trade,254,2025-06-09,2026-06-23,1240,32.9,安値反転,3,100,18,-7.9,上昇中押し目,78.4,良さそう,
1749,5381,Mipox Corporation,Standard Market(Domestic),Glass and Ceramics Products,254,2025-06-09,2026-06-23,1179,142.6,安値反転,1,100,26.1,-1.6,上昇中押し目,78.3,中立,
2241,6522,Asterisk Inc.,Growth Market(Domestic),Electric Appliances,254,2025-06-09,2026-06-23,1076,161.8,上昇中押し目,3,100,15.3,-3.7,上昇中押し目,78.2,良さそう,
2423,6870,"Fenwal Controls of Japan,Ltd.",Standard Market(Domestic),Electric Appliances,254,2025-06-09,2026-06-23,2493,47.8,上昇中押し目,2,100,19.8,-1.9,待ち,78.2,良さそう,
3074,8105,Bitcoin Japan Corporation,Standard Market(Domestic),Wholesale Trade,254,2025-06-09,2026-06-23,167,215.1,高値更新,1,100,29,0,待ち,78,中立,
26,142A,"JINJIB Co.,Ltd.",Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,733,23,高値更新,1,100,29.6,-1.1,待ち,77.9,中立,
2168,6391,KAJI TECHNOLOGY CORPORATION,Standard Market(Domestic),Machinery,254,2025-06-09,2026-06-23,4155,22.9,安値反転,1,100,28.9,0,待ち,77.9,中立,
1029,3934,"BENEFIT JAPAN Co.,LTD.",Standard Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,2269,31.2,安値反転,2,100,19.2,-1.3,待ち,77.8,良さそう,
1715,5261,"RESOL HOLDINGS Co.,Ltd.",Prime Market (Domestic),Services,254,2025-06-09,2026-06-23,7150,40.7,高値更新,3,100,14.4,-4.4,安値反転候補,77.6,良さそう,
2271,6566,"KANAME KOGYO CO.,LTD.",Standard Market(Domestic),Services,254,2025-06-09,2026-06-23,1192,9.6,高値更新,1,100,28.7,0,待ち,77.4,中立,
2942,7885,"TAKANO Co.,Ltd.",Standard Market(Domestic),Other Products,254,2025-06-09,2026-06-23,1013,40.5,高値更新,2,100,21,-4.8,待ち,77.4,良さそう,
294,2332,"Quest Co.,Ltd.",Standard Market(Domestic),Information & Communication,254,2025-06-09,2026-06-23,1719,22.8,安値反転,2,100,18.2,0,待ち,77.3,良さそう,
2736,7477,MURAKI CORPORATION,Standard Market(Domestic),Wholesale Trade,254,2025-06-09,2026-06-23,1950,42.6,上昇中押し目,2,100,16.9,-4.8,上昇中押し目,76.9,良さそう,
2319,6656,inspec Inc.,Standard Market(Domestic),Electric Appliances,254,2025-06-09,2026-06-23,1241,61.8,上昇中押し目,1,100,24.3,0,上昇中押し目,76.6,中立,
203,2120,"LIFULL Co.,Ltd.",Prime Market (Domestic),Services,254,2025-06-09,2026-06-23,189,5.6,安値反転,1,100,28.1,0,待ち,76.3,中立,
2056,6203,"Howa Machinery,Ltd.",Standard Market(Domestic),Machinery,254,2025-06-09,2026-06-23,1594,48.4,上昇中押し目,3,100,12,0,上昇中押し目,76,良さそう,
3004,7989,TACHIKAWA CORPORATION,Prime Market (Domestic),Metal Products,254,2025-06-09,2026-06-23,2470,53.5,安値反転,1,100,27.9,0,待ち,75.9,中立,
184,1994,TAKAHASHI CURTAIN WALL CORPORATION,Standard Market(Domestic),Construction,254,2025-06-09,2026-06-23,574,19.1,安値反転,3,100,12.5,-1,上昇中押し目,75.8,良さそう,
788,3449,TECHNOFLEX CORPORATION,Standard Market(Domestic),Metal Products,254,2025-06-09,2026-06-23,9640,632.5,上昇中押し目,3,100,13,-1.9,上昇中押し目,75.7,良さそう,
1779,5484,"Tohoku Steel Co.,Ltd.",Standard Market(Domestic),Iron and Steel,254,2025-06-09,2026-06-23,4480,123.9,高値更新,3,100,18.2,-0.5,高値圏,75.7,良さそう,
